% Model,MT COMSOL Model COMPLETED.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 8 2025, 15:07"
% Dimension,2
% Nodes,18337
% Expressions,2
% Description,"Temperature, Concentration"
% Length unit,m
% x,y,T (K),c (mol/m^3)
0,2.1796056062380834E-4,323.20556,0
0,1.1948993910576588E-4,323.20556,0
1.608458222676177E-4,1.9488598608489533E-4,323.16072904649246,0.005841710267883482
0,3.537695408571514E-4,323.20556,0
2.106964448124923E-4,3.0696037200724446E-4,323.20039325550243,6.505501300358257E-4
0,5.843984384457568E-4,323.20556,0
2.6798793750200536E-4,4.914149052930583E-4,323.2040601180504,1.2425604256710817E-4
0,9.134169066924307E-4,323.20556,0
3.024381531029941E-4,7.588891275539139E-4,323.204697596002,3.740155275250452E-5
3.1499990566444323E-4,0.0011482876237539185,323.20522564438005,1.693628182279713E-5
0,0.001360239073646588,323.20556,0
3.3956066576032066E-4,0.001633461804204184,323.2052409348428,1.559138458964846E-5
0,0.0018940867465526182,323.20556,0
3.9803616106881627E-4,0.0021643595165571536,323.20529304174596,1.1043008907082573E-5
0,0.002389926561408601,323.20556,0
4.1834002988815625E-4,0.002616527959005247,323.20540622322216,6.883890356674997E-6
0,0.0028514461032237643,323.20556,0
0,0.0033507321483925716,323.20556,0
4.40706496884594E-4,0.0031163815118656762,323.20539935886774,6.987830240490573E-6
5.172123494790881E-4,0.0036053282539628487,323.20539418143875,9.921023935590828E-6
0,0.0038908751505887145,323.20556,0
5.43637436405406E-4,0.004170374037787591,323.20525500366307,1.5019079929325079E-5
0,0.00447521847493903,323.20556,0
5.615047310993926E-4,0.004786338232066899,323.20533017855115,1.2493045162171985E-5
0,0.005107379064589439,323.20556,0
6.490990235128044E-4,0.005412736287482317,323.2054167573588,9.037214864391045E-6
0,0.00579126986624543,323.20556,0
6.544737008506563E-4,0.006143280676621123,323.20507309205,2.5059272319659635E-5
0,0.0065311239766863635,323.20556,0
0,0.007331520921615382,323.20556,0
7.240991485291286E-4,0.0069737508729104235,323.20508410153894,2.2182031599826473E-5
9.257862012259718E-4,0.01586104158168098,323.20465651147833,3.704576488259537E-5
0,0.016602844748141256,323.20556,0
0,0.015101155487282256,323.20556,0
0.0012756586824601785,0.017234113061057856,323.20442537902176,5.0332652845031614E-5
0,0.0182274184051593,323.20556,0
0.0012018678394697284,0.018705298055992296,323.20554758388585,1.0301576719967516E-7
0,0.02,323.20556,0
0.0019353163807183374,0.02,323.2048002675881,3.397993538553304E-5
7.008321421630719E-4,0.009643600170214353,323.2051370216077,1.3720737666902816E-5
0,0.010147571681096068,323.20556,0
0,0.009134165805128543,323.20556,0
8.383584796356395E-4,0.007757233733733386,323.2050267442938,2.451694307587882E-5
0,0.008197414974100559,323.20556,0
9.171575423883929E-4,0.00870751140664933,323.2050553307825,2.2996036112832246E-5
0.001063344668175009,0.010581497701317593,323.20488308648197,3.134625209681882E-5
0,0.011243905344127529,323.20556,0
0.0011806658761042718,0.011784889900070187,323.2050167573588,2.4454923439647696E-5
0,0.012429952839007235,323.20556,0
0,0.013713055518178476,323.20556,0
0.0012305133009945007,0.01314021937910864,323.20502570320235,2.4055224896344643E-5
0.001224452584927788,0.01454030533395779,323.2050276088266,2.172231900617855E-5
0.004042971707774623,0.02,323.2060955320429,-2.8475632235487858E-5
0.003032568550896243,0.018193158562085872,323.2046429755125,4.6969782680385574E-5
0.006341069675234191,0.02,323.2048552044825,3.913562763439549E-5
0.005391056942704137,0.018083064354127112,323.205247019954,1.942065428393489E-5
0.007382851283865582,0.018035180742185984,323.2058191132173,-9.52747150427944E-6
0.008503406192336046,0.02,323.2038044695662,9.839165231845433E-5
0.009342397595601667,0.018112469364071966,323.2049178040716,4.171530750829069E-5
0.01036658576371554,0.02,323.20457033502265,5.332335535589132E-5
0.01117161800679046,0.01828991019486606,323.2044862161196,7.089558509731752E-5
0.012221678918134186,0.02,323.2049047348986,3.691281858005263E-5
0.014076772072552831,0.02,323.20442217934516,8.581699426960555E-5
0.013224280499141351,0.01828173473756519,323.2053913446118,1.9051167546321727E-5
0.01593186522697147,0.020000000000000004,323.2053358669008,2.6797962104627383E-5
0.015019690592730638,0.018163022877564758,323.2052303834343,2.8713191610148346E-5
0.017786958381390116,0.02,323.2051840016073,1.3091958037340718E-5
0.01688547247740268,0.01833367611641286,323.20487284838777,5.906028946039473E-5
0.01964205153580877,0.02,323.2049390659164,3.620292586201838E-5
0.018802415678807534,0.01829956021806419,323.20586113387725,-1.041621187762265E-5
0.020536948663997315,0.018193398173625894,323.2051812637755,1.7642100009004897E-5
0.02149714469022741,0.019999999999999997,323.2054088221297,9.22407497331904E-6
0.022344476749179436,0.018362857135619724,323.20466554920637,4.5083658217046286E-5
0.023352237844646056,0.02,323.20433737654486,4.7335149843315165E-5
0.025207330999064696,0.02,323.2028276760414,1.219948867381872E-4
0.024318003224100073,0.018378026108564215,323.205016864019,2.3887785865145874E-5
0.02612875418810352,0.01825749664157438,323.2041369428391,6.279837639617066E-5
0.027062424153483342,0.02,323.2040014395289,7.081294783679162E-5
0.02793858608994212,0.01837382732191615,323.20376419156327,8.70718014101257E-5
0.02891751730790199,0.02,323.20475103984603,3.475487619694711E-5
0.03077261046232064,0.020000000000000004,323.204249534683,6.75092640796408E-5
0.02991224901722972,0.018343900088712357,323.205009537172,2.8716294256509808E-5
0.032627703616739265,0.02,323.2050036374164,2.7983042423294007E-5
0.03170541432467614,0.01821632761062716,323.20475275234975,3.7417183282775165E-5
0.034482796771157925,0.02,323.2047283907147,2.6406037800412354E-5
0.03356432775731415,0.018343426026462776,323.20442749092757,5.6463326870058125E-5
0.036337889925576565,0.02,323.2041486725262,5.7422512413374807E-5
0.03555881713125052,0.018272945670125454,323.205307413572,8.60022710008372E-6
0.03819298307999522,0.019999999999999997,323.20496200886413,2.2415397603968207E-5
0.037289404082610986,0.018157326748815275,323.20456060863506,3.9588426861895665E-5
0.03908016937534973,0.01832932405468231,323.20412407165173,6.691710127427725E-5
0.04004807623441384,0.02,323.20429829034333,5.6089437931597586E-5
0.0419031693888325,0.02,323.2031107528927,1.2139036593819807E-4
0.04103734056088244,0.01832374356932892,323.20494893096185,2.8488657910879678E-5
0.04280730505368859,0.01821254522680513,323.2040837388215,6.793830294463817E-5
0.043758262543251145,0.02,323.2044366944498,5.430478822350992E-5
0.04460496530796098,0.018341590050018574,323.2035946235647,9.276604105021947E-5
0.04561335569766979,0.02,323.20466712167485,2.4461363076679343E-5
0.04746844885208843,0.020000000000000004,323.20355751914025,7.410193055838309E-5
0.0466200481611095,0.018382134538614665,323.204744333402,2.8980921346308526E-5
0.04932354200650709,0.02,323.20427269229464,4.1420725634488775E-5
0.048416944741250224,0.018263781789026604,323.20412233512235,5.129764959885294E-5
0.05026479801259134,0.018406483695290493,323.203742117913,8.270688203814844E-5
0.05117863516092572,0.02,323.20426678416584,5.6093450178480085E-5
0.05303372831534436,0.02,323.2037167485983,1.0584655635639764E-4
0.05225754170268689,0.018311721046636146,323.2046990464917,3.6558968428978975E-5
0.054888821469763024,0.02,323.20470357614323,5.0370761408797855E-5
0.0539849419468405,0.018203855037480288,323.20409357620815,6.694929521302727E-5
0.05577651029177936,0.018381879069073803,323.20389215236395,7.971001181011926E-5
0.05674391462418166,0.02,323.2043592301297,2.8872229288891087E-5
0.058599007778600304,0.02,323.2038610191727,5.197066360597589E-5
0.057755652605713304,0.018345505375480645,323.2050079821775,1.8174274978053608E-5
0.06045410093301897,0.02,323.2049736822288,1.3191461851387682E-5
0.05957768385983958,0.018260991668251726,323.2039576272596,4.957088946104313E-5
0.061387383401377595,0.018406757910224118,323.2034015031814,8.423102821248415E-5
0.0623091940874376,0.02,323.20365116778663,7.495806230213945E-5
0.06416428724185623,0.019999999999999997,323.20187590457243,1.6248026014983644E-4
0.0632447863173464,0.018366458375364162,323.20460196126805,4.064382733797935E-5
0.06507285437092937,0.018260120740020442,323.203115146397,1.0179325663908731E-4
0.06601938039627488,0.02,323.20406060352406,7.932997039238916E-5
