% Model,MT COMSOL Model COMPLETED.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 8 2025, 15:22"
% Dimension,2
% Nodes,18337
% Expressions,2
% Description,"Temperature, Concentration"
% Length unit,m
% x,y,T (K),c (mol/m^3)
0,2.1796056062380834E-4,323.20556,0
0,1.1948993910576588E-4,323.20556,0
1.608458222676177E-4,1.9488598608489533E-4,323.16819040342654,0.005082620805245868
0,3.537695408571514E-4,323.20556,0
2.106964448124923E-4,3.0696037200724446E-4,323.20105041586515,5.314386521640067E-4
0,5.843984384457568E-4,323.20556,0
2.6798793750200536E-4,4.914149052930583E-4,323.2042122518731,1.0931119842411595E-4
0,9.134169066924307E-4,323.20556,0
3.024381531029941E-4,7.588891275539139E-4,323.2046710575701,3.876033627756928E-5
3.1499990566444323E-4,0.0011482876237539185,323.20521188595495,1.74223493117638E-5
0,0.001360239073646588,323.20556,0
3.3956066576032066E-4,0.001633461804204184,323.20522336294044,1.6223177650116277E-5
0,0.0018940867465526182,323.20556,0
3.9803616106881627E-4,0.0021643595165571536,323.20527896192135,1.1639895563744406E-5
0,0.002389926561408601,323.20556,0
4.1834002988815625E-4,0.002616527959005247,323.20539056897775,7.689997593506006E-6
0,0.0028514461032237643,323.20556,0
0,0.0033507321483925716,323.20556,0
4.40706496884594E-4,0.0031163815118656762,323.2053854348856,7.737594605015499E-6
5.172123494790881E-4,0.0036053282539628487,323.20538377458297,9.884667521947125E-6
0,0.0038908751505887145,323.20556,0
5.43637436405406E-4,0.004170374037787591,323.20523551545847,1.6279739555862447E-5
0,0.00447521847493903,323.20556,0
5.615047310993926E-4,0.004786338232066899,323.20531914085865,1.3262430995527199E-5
0,0.005107379064589439,323.20556,0
6.490990235128044E-4,0.005412736287482317,323.20540913796634,9.056113218417037E-6
0,0.00579126986624543,323.20556,0
6.544737008506563E-4,0.006143280676621123,323.2050487696569,2.6716350622637305E-5
0,0.0065311239766863635,323.20556,0
0,0.007331520921615382,323.20556,0
7.240991485291286E-4,0.0069737508729104235,323.2050546945161,2.4131493199102943E-5
9.257862012259718E-4,0.01586104158168098,323.2045817033393,4.086046233376038E-5
0,0.016602844748141256,323.20556,0
0,0.015101155487282256,323.20556,0
0.0012756586824601785,0.017234113061057856,323.20436186462234,5.3829099844780964E-5
0,0.0182274184051593,323.20556,0
0.0012018678394697284,0.018705298055992296,323.2055378599601,-2.321231449432524E-7
0,0.02,323.20556,0
0.0019353163807183374,0.02,323.2047808642356,3.330550647942122E-5
7.008321421630719E-4,0.009643600170214353,323.20507518633,1.650723797283197E-5
0,0.010147571681096068,323.20556,0
0,0.009134165805128543,323.20556,0
8.383584796356395E-4,0.007757233733733386,323.2049850444865,2.6856705301108402E-5
0,0.008197414974100559,323.20556,0
9.171575423883929E-4,0.00870751140664933,323.2050122725346,2.4989176168979176E-5
0.001063344668175009,0.010581497701317593,323.2048338188947,3.422592707227502E-5
0,0.011243905344127529,323.20556,0
0.0011806658761042718,0.011784889900070187,323.2049668038365,2.69719767553741E-5
0,0.012429952839007235,323.20556,0
0,0.013713055518178476,323.20556,0
0.0012305133009945007,0.01314021937910864,323.20498018545396,2.6311099479255307E-5
0.001224452584927788,0.01454030533395779,323.20496787277557,2.424462427040607E-5
0.004042971707774623,0.02,323.20610243578557,-3.283050993415978E-5
0.003032568550896243,0.018193158562085872,323.20461734720476,4.9285603955536387E-5
0.006341069675234191,0.02,323.20482831805634,4.1696553315796835E-5
0.005391056942704137,0.018083064354127112,323.2052443721512,1.9566412272440245E-5
0.007382851283865582,0.018035180742185984,323.2058293690886,-1.058452643265467E-5
0.008503406192336046,0.02,323.2037893728419,1.0432870143119734E-4
0.009342397595601667,0.018112469364071966,323.204909749206,4.3501269239083335E-5
0.01036658576371554,0.02,323.204564552223,5.587532330320302E-5
0.01117161800679046,0.01828991019486606,323.20449547650816,7.262296362805707E-5
0.012221678918134186,0.02,323.2048703385962,3.727024187909004E-5
0.014076772072552831,0.02,323.20444181158234,8.435004269899834E-5
0.013224280499141351,0.01828173473756519,323.20541449916385,1.741211411672474E-5
0.01593186522697147,0.020000000000000004,323.20536561131377,2.4230922056005197E-5
0.015019690592730638,0.018163022877564758,323.20522314938177,2.7350284951355173E-5
0.017786958381390116,0.02,323.2051267302527,1.4559461316545726E-5
0.01688547247740268,0.01833367611641286,323.2048905876302,5.647988008118732E-5
0.01964205153580877,0.02,323.2048920570556,3.605540144487029E-5
0.018802415678807534,0.01829956021806419,323.2058668336103,-1.2466191644547661E-5
0.020536948663997315,0.018193398173625894,323.2051360039829,1.7833187696591173E-5
0.02149714469022741,0.019999999999999997,323.20538737027744,8.617920750085585E-6
0.022344476749179436,0.018362857135619724,323.2046132303078,4.503259771147667E-5
0.023352237844646056,0.02,323.20425575625904,5.066328382803863E-5
0.025207330999064696,0.02,323.20272130387036,1.2643949577667858E-4
0.024318003224100073,0.018378026108564215,323.20498734583435,2.4084700820542283E-5
0.02612875418810352,0.01825749664157438,323.20406798823063,6.52900902168127E-5
0.027062424153483342,0.02,323.2039436851241,7.308503890664158E-5
0.02793858608994212,0.01837382732191615,323.20371858917184,8.84261880071963E-5
0.02891751730790199,0.02,323.2046793376435,3.8218343132368465E-5
0.03077261046232064,0.020000000000000004,323.2042086942507,6.996731765625769E-5
0.02991224901722972,0.018343900088712357,323.20499976042447,2.862012543580686E-5
0.032627703616739265,0.02,323.2049844826793,2.8495016333027854E-5
0.03170541432467614,0.01821632761062716,323.2047004787618,3.951709534764581E-5
0.034482796771157925,0.02,323.20464139456976,3.01410216542781E-5
0.03356432775731415,0.018343426026462776,323.2043990794946,5.7559021196740756E-5
0.036337889925576565,0.02,323.2040667350717,6.130890808430819E-5
0.03555881713125052,0.018272945670125454,323.2052869703512,8.876151335600277E-6
0.03819298307999522,0.019999999999999997,323.2049211642135,2.432906200791375E-5
0.037289404082610986,0.018157326748815275,323.20448810637777,4.282000087553077E-5
0.03908016937534973,0.01832932405468231,323.20406093216076,6.958326256515106E-5
0.04004807623441384,0.02,323.2042085756508,6.051421294392005E-5
0.0419031693888325,0.02,323.2030107228737,1.2555877660115822E-4
0.04103734056088244,0.01832374356932892,323.2049158890282,2.9196422044893316E-5
0.04280730505368859,0.01821254522680513,323.20400453019823,7.095015719902406E-5
0.043758262543251145,0.02,323.20437720468726,5.47142403135637E-5
0.04460496530796098,0.018341590050018574,323.2035350521916,9.541701163092159E-5
0.04561335569766979,0.02,323.20458136995956,2.826104346550109E-5
0.04746844885208843,0.020000000000000004,323.20347258452415,8.033401876199412E-5
0.0466200481611095,0.018382134538614665,323.2046855843798,3.0352269369811985E-5
0.04932354200650709,0.02,323.20417851979744,4.6359757647077876E-5
0.048416944741250224,0.018263781789026604,323.2040260022141,5.660253439907885E-5
0.05026479801259134,0.018406483695290493,323.2037020916692,8.655271692729429E-5
0.05117863516092572,0.02,323.204164986308,6.12809726065009E-5
0.05303372831534436,0.02,323.20370385953765,1.0900238075881267E-4
0.05225754170268689,0.018311721046636146,323.2046501087359,3.9444720979450136E-5
0.054888821469763024,0.02,323.2046932280846,5.114721729736494E-5
0.0539849419468405,0.018203855037480288,323.2040138394056,7.09700960621161E-5
0.05577651029177936,0.018381879069073803,323.20386500787635,8.218084651373364E-5
0.05674391462418166,0.02,323.20422878439,3.3728759638484446E-5
0.058599007778600304,0.02,323.20379516833316,5.556277879765999E-5
0.057755652605713304,0.018345505375480645,323.2049869151586,1.8805392290206755E-5
0.06045410093301897,0.02,323.2049696583104,1.4055216031609553E-5
0.05957768385983958,0.018260991668251726,323.203842707509,5.48708389651209E-5
0.061387383401377595,0.018406757910224118,323.2033145446253,8.850457124932137E-5
0.0623091940874376,0.02,323.20350766685243,8.180470090467484E-5
0.06416428724185623,0.019999999999999997,323.2017013428425,1.6976484560267372E-4
0.0632447863173464,0.018366458375364162,323.20457261814823,4.204031651591376E-5
0.06507285437092937,0.018260120740020442,323.20297423793136,1.0810192004436272E-4
0.06601938039627488,0.02,323.2040284242807,7.915644721498842E-5
