x,y,T,c
0,4.942995701331689E-4,316.53889,6.077163357286271E-64
0,2.6474057306420884E-4,316.53889,6.077163357286271E-64
3.3970485200707234E-4,4.2855900888122395E-4,316.50979876404614,0.004207200658701985
4.5219226370554045E-4,6.665103166431607E-4,316.5352307348669,3.8987340951927315E-4
0,8.628072304643552E-4,316.53889,6.077163357286271E-64
6.163070757586167E-4,0.0011350700063426386,316.5360694297203,2.507041476089374E-4
0,0.001503271827974255,316.53889,6.077163357286271E-64
7.858835966104547E-4,0.0017200535914318285,316.5383646359033,1.6614114348433477E-5
0,0.0021437364254841547,316.53889,6.077163357286271E-64
9.339500179626343E-4,0.002661443588657649,316.5381702298674,3.161807032039772E-5
0,0.0032185470153213032,316.53889,6.077163357286271E-64
0.0010590147824642718,0.003805162736090228,316.53781741995505,5.5794561749543795E-5
0,0.004520847806238147,316.53889,6.077163357286271E-64
0,0.005781834351658125,316.53889,6.077163357286271E-64
0.0011876899817055877,0.005153985944046713,316.5382411180031,3.7341659045567984E-5
0.0013111260609926984,0.006302412290491355,316.53799578431546,4.419288041805067E-5
0,0.006995509050031501,316.53889,6.077163357286271E-64
0.0014719167596135374,0.007569434257535173,316.5380191705919,4.582961093011705E-5
0,0.008338601090301673,316.53889,6.077163357286271E-64
0.0016545958540289667,0.009032537500140917,316.53792628262767,4.5969041062940496E-5
0,0.009824910419402652,316.53889,6.077163357286271E-64
0.001270854838790928,0.014152071873722544,316.53743322421514,7.747073343665271E-5
0,0.015304175314142026,316.53889,6.077163357286271E-64
0,0.013289896406291858,316.53889,6.077163357286271E-64
0,0.017533242040450224,316.53889,6.077163357286271E-64
0.0018028517499281223,0.018314943351352482,316.5377701301703,7.039504068964946E-5
0,0.02,316.53889,0
0.0026424380600708727,0.019999999999999997,316.53660534502427,1.300575381140373E-4
0,0.011469708880393706,316.53889,6.077163357286271E-64
0.0018851459377224732,0.010713506520608563,316.53835383437917,3.281016076588204E-5
0.001597857749163743,0.012537359703982837,316.5381259502506,3.7628265583819794E-5
0.0021983941373650115,0.015863510498783866,316.53788577096094,5.326223858521084E-5
0.003954718183993318,0.0179931001129516,316.5360042297898,1.759073760699983E-4
0.0054572925146562845,0.02,316.53639555518424,1.157914014184832E-4
0.006806225985015694,0.017448700592938623,316.53739677858516,9.409491033220432E-5
0.008455206702789679,0.020000000000000004,316.5362484055409,1.2503982114900008E-4
0.00981179638018449,0.017276235994851435,316.53761220024734,7.108254577128726E-5
0.011304138084892945,0.02,316.5384311051907,2.313085572297228E-5
0.012402815634841427,0.017522520894718497,316.5360511555787,1.5823669860474555E-4
0.013867538314694965,0.02,316.53811972396534,2.9543955797328533E-5
0.015127645765847636,0.017825895945613197,316.5375410464347,7.644947630773765E-5
0.016427076777659096,0.02,316.5347854673423,1.893591712167546E-4
0.018986615240623214,0.02,316.5362126532927,1.3282230668704728E-4
0.01773710970299812,0.017767887436616083,316.5371259645016,9.897579589112801E-5
0.020266384472105266,0.017927221489480828,316.5359391414832,1.7333148930990898E-4
0.02154615370358734,0.02,316.53899776801745,2.0689712400857016E-5
0.02284444284877303,0.017815726053742927,316.5378373628575,8.114195168346405E-5
0.024105692166551472,0.019999999999999997,316.5387516532801,5.8761958143543464E-5
0.025303284450593978,0.017768843636316093,316.5382534692733,8.020328712321201E-5
0.0266652306295156,0.02,316.53783457012,9.237568258055453E-5
0.027960107254548276,0.01786931195330925,316.53844561533697,6.673737128280769E-5
0.029224769092479737,0.02,316.53751621509804,9.718808187987784E-5
0.03178430755544386,0.02,316.538839347716,-5.394169008464244E-7
0.0307708483161422,0.01758073043392898,316.5379781992012,5.784304376387577E-5
0.034343846018408,0.02,316.538011636057,1.7056667759031164E-6
0.03319646294102255,0.017681432019574846,316.5368353612153,1.5148057135236655E-4
0.036903384481372134,0.02,316.5364462003941,9.539158903778905E-5
0.03576281873672149,0.017777956125781945,316.5380379072631,3.817281751785324E-5
0.03816131134207659,0.017710125757891184,316.53697330110737,7.281281738985459E-5
0.039462922944336246,0.02,316.5368841643008,9.098437018222796E-5
0.040715324163422585,0.017873870784162398,316.53666217349314,9.89049100783824E-5
0.04202246140730038,0.02,316.53749500151326,4.884763884766396E-5
0.044581999870264497,0.02,316.53736352426375,2.9094492781981127E-5
0.043415341754898806,0.017800857805309912,316.5377383630884,4.8772258383263746E-5
0.04714153833322863,0.02,316.53913067160084,-3.94141889252169E-5
0.04589754585680519,0.01762991040282927,316.5374485511938,4.501339577792159E-5
0.048404575360086646,0.017860118476344986,316.535901670176,1.0520401214916574E-4
0.049701076796192754,0.019999999999999997,316.53688584797067,7.108341572875039E-5
0.052260615259156894,0.02,316.5332725923981,2.473305935864614E-4
0.05109552380483792,0.017804408187417915,316.53723433298984,5.553176952975738E-5
0.05353776169850846,0.017641451112118848,316.53424598680573,2.1695979576251404E-4
0.05482015372212102,0.02,316.5335557241662,2.397226761285562E-4
0.056099922953603096,0.0179272214894808,316.53354759553054,2.8449275982652E-4
0.05737969218508514,0.02,316.53458066357996,2.5544210637254216E-4
0.059939230648049284,0.02,316.5323605883139,4.208333887341907E-4
0.05881787096740343,0.017730276686953813,316.53338410534667,2.93628507480485E-4
0.06121760500537065,0.01760967714379852,316.5335748436822,2.930891604224335E-4
0.0624987691110134,0.019999999999999997,316.5337146443168,2.8689210698944185E-4
0.06372071961912376,0.017731347868264517,316.5327897086317,3.4278200229829943E-4
0.06505830757397754,0.02,316.53477216654414,1.1778207654060035E-4
0.06761784603694165,0.02,316.53626590427945,4.820940232494386E-5
0.06651067446381971,0.017605612204184804,316.53523574635307,1.3738782004387755E-4
0.07017738449990579,0.02,316.5348705851933,1.4199348943767873E-4
0.06897802324876576,0.01772189700101217,316.5320581478875,3.0864239837597064E-4
0.0727369229628699,0.02,316.5312187571671,3.418926808662831E-4
0.07154138715951859,0.01780569734278725,316.5342892283058,1.87827273905224E-4
0.07529646142583404,0.019999999999999997,316.5334076029674,2.596293427528744E-4
0.07406425145618406,0.017737818639915966,316.533808141413,2.3221750879105402E-4
0.07659028158972002,0.017895579549561585,316.53317658149723,2.863801087691291E-4
0.07785599988879818,0.02,316.5381554985964,5.5563188890241274E-5
0.08041553835176231,0.02,316.53682802289046,1.3787484404104638E-4
0.07928838363820728,0.01772657435731741,316.5343485993403,2.2872051693425716E-4
0.08297507681472643,0.02,316.5308266755815,3.935940946525116E-4
0.0817001508690089,0.017586681651007526,316.5336455528587,2.5153389747819855E-4
0.08424447055335046,0.017700842745415116,316.5326297930014,3.105092275406764E-4
0.08553461527769057,0.02,316.5255548474981,6.088541466618641E-4
0.08809415374065468,0.019999999999999997,316.5291556704347,4.377221639054925E-4
0.08703735125698286,0.01762313933861621,316.529597383822,4.353268274945369E-4
0.09065369220361881,0.02,316.5330481446351,2.7264076422273907E-4
0.08955654761437086,0.017542675883621312,316.52747892399026,5.519932178414764E-4
0.09321323066658294,0.020000000000000004,316.53860729104497,3.522436440370684E-5
0.09216550441406501,0.017534436446216148,316.53444390865866,1.9766025586285296E-4
0.09577276912954709,0.02,316.5382431762413,5.0878441128899566E-5
0.09477145987190855,0.017528736946661464,316.53087254342245,4.1695782170576287E-4
0.09833230759251117,0.02,316.53731010857433,2.6615802973300012E-5
0.09737002997406342,0.017529269922955615,316.53723360016926,1.3426253792703978E-5
0.10089184605547533,0.019999999999999997,316.5325011310314,1.306033626052244E-4
0.09992136235422538,0.01753662224728988,316.53372385492617,1.8316596342734493E-4
