x,y,T,c,mol_flux
0,0,319.261,0.167,-0.025692904524215
0,1.2033662412009491E-4,319.261,0,-0.037665871990393764
0,2.6474057306420884E-4,319.261,0,-0.0014390035556074929
0,4.942995701331689E-4,319.261,0,1.5247563462480465E-4
0,8.628072304643552E-4,319.261,0,1.5442526390921273E-4
0,0.001503271827974255,319.261,0,1.824905572663158E-4
0,0.0021437364254841547,319.261,0,4.2679427882983916E-5
0,0.0032185470153213032,319.261,0,6.939947230701234E-5
0,0.004520847806238147,319.261,0,1.0826130410569862E-4
0,0.005781834351658125,319.261,0,1.0681106381551435E-4
0,0.006995509050031501,319.261,0,1.3118924544470705E-4
0,0.008338601090301673,319.261,0,9.55500526986809E-5
0,0.009824910419402652,319.261,0,5.4278433119587705E-5
0,0.011469708880393706,319.261,0,9.090515419641628E-5
0,0.013289896406291858,319.261,0,9.120959179225195E-5
0,0.015304175314142026,319.261,0,8.4682354095623E-5
0,0.017533242040450224,319.261,0,1.3905535593996976E-4
0,0.02,319.261,0,1.1521664585849118E-4
5.600403632695183E-4,0,309.9802341994255,0.334,-0.036308149722673246
0.0011200807265390367,0,309.3846494844686,0.334,-0.02441619022640899
0.0016801210898083087,0,309.47236532903656,0.334,-0.019141710360074934
0.002240161453077827,0,309.4702290219063,0.334,-0.016471617742182268
0.002800201816347222,0,309.5039558343196,0.334,-0.014583193266714943
0.0033602421796166174,0,309.5217309182909,0.334,-0.013250670323251335
0.003920282542886136,0,309.54012936427455,0.334,-0.01221374919161455
0.004480322906155531,0,309.55610502509865,0.334,-0.01138349742362195
0.005040363269425049,0,309.57084804869885,0.334,-0.0106998020803326
0.005600403632694444,0,309.58355846052206,0.334,-0.010127387692408464
0.00616044399596384,0,309.59568492768153,0.334,-0.009633483643032981
0.006720484359233358,0,309.60630018030224,0.334,-0.00920829510867003
0.007280524722502876,0,309.61609321720795,0.334,-0.008834002009203453
0.007840565085772272,0,309.62502433046706,0.334,-0.008500900552535648
0.008400605449041544,0,309.6336864354823,0.334,-0.008199738282174176
0.008960645812310939,0,309.6418608763248,0.334,-0.007929411493702219
0.009520686175580457,0,309.64925043549607,0.334,-0.007685336226825822
0.010080726538849852,0,309.656068837015,0.334,-0.00746202376991335
0.01064076690211937,0,309.66242874630103,0.334,-0.007257236140018513
0.011200807265388765,0,309.6683409723876,0.334,-0.007068688107441368
0.011760847628658162,0,309.67383977410276,0.334,-0.00689392306879519
0.01232088799192768,0,309.6791394976525,0.334,-0.006730936841802438
0.012880928355197075,0,309.68404955126806,0.334,-0.006579506630916589
0.013440968718466593,0,309.688630380066,0.334,-0.006438027039598178
0.014001009081735988,0,309.6929185214551,0.334,-0.006305361540917437
0.014561049445005383,0,309.69699895002134,0.334,-0.006180411107106795
0.015121089808274778,0,309.7008483679642,0.334,-0.00606278229523517
0.015681130171544298,0,309.70441846584623,0.334,-0.0059520501993380924
0.016241170534813568,0,309.7077519566665,0.334,-0.005847300145710899
0.01680121089808321,0,309.710939204018,0.334,-0.005747632230356769
0.017361251261352482,0,309.71396163458684,0.334,-0.005652960233219366
0.017921291624622,0,309.71681606940825,0.334,-0.005562881742086979
0.018481331987891397,0,309.7195310735225,0.334,-0.00547674246066076
0.019041372351160914,0,309.7222077161358,0.334,-0.0053943681641229
0.01960141271443031,0,309.7247025680296,0.334,-0.005316063996666848
0.021281533804238494,0,309.73121761471043,0.334,-0.00510166594688429
0.020721493440969223,0,309.7292749937281,0.334,-0.005169765387607582
0.020161453077699704,0,309.72709095481133,0.334,-0.005241061289138152
0.021841574167508135,0,309.733095879903,0.334,-0.0050355903023631965
0.02240161453077747,0,309.734962308993,0.334,-0.004971995472949255
0.022961654894046987,0,309.736542591333,0.334,-0.00491210454272022
0.02352169525731626,0,309.7379555677748,0.334,-0.004854184612845152
0.024081735620585777,0,309.739188285353,0.334,-0.004798537439631636
0.024641775983855235,0,309.7402726735236,0.334,-0.004744651161149176
0.025201816347124692,0,309.7413870137014,0.334,-0.004691982689398067
0.02576185671039415,0,309.74250871675514,0.334,-0.00464077775053503
0.026321897073663482,0,309.7436313053519,0.334,-0.004591040260596203
0.026881937436933002,0,309.7447189536391,0.334,-0.004542918882926949
0.029122098890010703,0,309.74857544078014,0.334,-0.0043650277050712415
0.02856205852674137,0,309.7476557519024,0.334,-0.004407882184971452
0.027441977800202518,0,309.74573866283833,0.334,-0.004496402720982299
0.028002018163471913,0,309.7467629946253,0.334,-0.0044512206792857115
0.029682139253280223,0,309.74953106847175,0.334,-0.004323564159260236
0.030242179616549618,0,309.75032649434445,0.334,-0.004284285526178392
0.030802219979819197,0,309.7509432703147,0.334,-0.0042464022748715585
0.03136226034308841,0,309.75141255377866,0.334,-0.004209538195433776
0.031922300706357924,0,309.75184184231,0.334,-0.004173363610803397
0.037522704339052436,0,309.7540170052794,0.334,-0.0038574781195912086
0.03696266397578291,0,309.754012992246,0.334,-0.003885660041310842
0.03640262361251346,0,309.75396314294267,0.334,-0.003914487927040269
0.03584258324924412,0,309.75385956290336,0.334,-0.003944086743971914
0.03248234106962745,0,309.7522573516107,0.334,-0.004137901144190376
0.0330423814328969,0,309.7526436471736,0.334,-0.004103372815153307
0.035282542885974606,0,309.75372306906667,0.334,-0.003974307393856926
0.03472250252270521,0,309.7535477102839,0.334,-0.0040052238948446945
0.03360242179616624,0,309.75297492758017,0.334,-0.00406982087273504
0.03416246215943563,0,309.75328773673704,0.334,-0.004037035948186394
0.03808274470232183,0,309.7540276341874,0.334,-0.0038297317871484465
