% Model,1SCFM HT COMSOL.mph,
% Version,COMSOL 6.2.0.290,
% Date,"Feb 23 2025, 16:25",
% Dimension,2,
% Nodes,805,
% Expressions,1,
% Description,Temperature,
% Length unit,m,
% r,z,T (K)
0.001092321375,-0.008912130079,313.0917556
0,-0.01,293.6
0.00159,-0.01,293.6
0,-0.008001551815,317.7775516
0.002418285775,-0.0087802769,307.99758
0.00318,-0.01,293.6
0.003958616587,-0.00873714833,300.822906
0.00477,-0.01,293.6
0.005520183233,-0.008701877021,298.1592235
0.00636,-0.01,293.6
0.001401891784,-0.007303361536,312.3305754
0,-0.005915915751,321.7381614
0.00709345421,-0.008682442034,296.396117
0.00795,-0.01,293.6
0.001296815499,-0.005017684983,313.3887577
0,-0.003830279688,326.7928935
0.008689079453,-0.008677220592,294.0625107
0.00954,-0.01,293.6
0.01029398599,-0.008683442776,294.6174494
0.01113,-0.01,293.6
0.01188840619,-0.008714349954,295.7633178
0.01272,-0.01,293.6
0.001150966201,-0.003325379957,319.2027766
0,-0.002690892428,334.3612131
0.01346354992,-0.00879522657,296.8598756
0.01431,-0.01,293.6
0.01480426303,-0.008912858532,297.2306114
0.0159,-0.01,293.6
0,-0.001680168262,344.0690468
0.0010867423,-0.002126663216,328.4821393
0.0159,-0.007985573045,297.4533326
0,-9.27E-04,348.8981237
0.001136447556,-0.001278754308,341.249817
0.01450586297,-0.007323624615,297.4911578
0.0159,-0.005971146289,297.4866433
8.51E-04,-7.22E-04,348.5527272
0,-4.52E-04,350.1349805
0.01462729781,-0.005006321802,297.4671019
0.0159,-0.004085027145,297.4246805
0.0159,-0.002903618812,297.449849
0.01465031787,-0.003243303085,297.4655603
0.0159,-0.001722210479,297.3142374
0.01465145964,-0.002016098222,297.3722736
0.0159,-9.12E-04,296.733448
0.01502683367,-0.001142926897,296.9036383
0.0159,-4.41E-04,295.6636458
0.01516936619,-6.44E-04,296.1636451
0.003254027341,-0.007547392433,299.0553336
0.0047144021,-0.007420581597,295.7432204
0.006221715916,-0.00736351715,296.0460169
0.004008534147,-0.006283433467,295.557211
0.002764524137,-0.005726144674,299.2309197
0.005276979631,-0.00555790332,295.1675313
0.007921333709,-0.007317965858,294.6832891
0.007009024371,-0.005702242421,295.0854063
0.003931534953,-0.004739152891,295.1202884
0.002478364897,-0.004115534162,300.2634219
0.004833288771,-0.003978393594,295.0102577
0.009436564988,-0.007160741314,294.9986949
0.006179569419,-0.003917710035,295.1233645
0.008531180045,-0.00542157582,294.8814898
0.007648412944,-0.004097118349,294.9068322
0.002230396774,-0.002757678641,305.6100698
0.01106230707,-0.007077930884,296.4238821
0.01263194788,-0.007248060099,297.2558729
0.003565348868,-0.003121332869,295.8199391
0.004584994595,-0.002858263598,295.0394782
0.005374494187,-0.003094425561,295.0104568
0.01017370323,-0.005297643631,296.1895905
0.00612714949,-0.00265197308,295.0509668
0.006999702953,-0.003114722347,294.9923276
0.009175688833,-0.003614697081,295.3552638
0.007995312042,-0.002811762388,294.9685314
0.002043098929,-0.00167611778,317.1028362
0.003057859447,-0.002181043864,301.1297807
0.01194632399,-0.005090679538,297.2931746
0.01338723583,-0.00567325051,297.4817513
0.004005267523,-0.002149845962,295.6315927
0.005147468657,-0.002065787499,294.9003157
0.006101160368,-0.001908411355,294.9926663
0.01078175791,-0.003636160299,296.5630808
0.01003110163,-0.002749507944,295.7684304
0.007060228286,-0.002123263696,294.9873002
0.008023613963,-0.001919907883,294.9601003
0.009048881309,-0.002171879746,295.17961
0.01006967973,-0.001990187731,295.5630233
0.002062537152,-0.00112390293,329.8044186
0.003216358423,-0.001412375598,305.5183672
0.001925634638,-7.88E-04,343.606523
0.0121417596,-0.003302788156,297.2142803
0.01333593619,-0.004075039464,297.4623588
0.001041666667,-4.52E-04,353.1128476
0.004467266057,-0.00135800802,296.3556657
0.00557347443,-0.001340735312,294.8444114
0.00659748098,-0.001360297186,294.9764344
0.01107950034,-0.002334614862,296.3523806
0.01230915188,-0.002101751261,296.8628274
0.00761282543,-0.001382891716,294.9628924
0.008521459715,-0.001299209001,295.0174196
0.009564885478,-0.001311240444,295.182588
0.01057602365,-0.001443548519,295.6031142
