r,z,T (K)
0.001092321375,-0.008912130079,307.7739914
0,-0.01,293.6
0.00159,-0.01,293.6
0,-0.008001551815,320.722809
0.002418285775,-0.0087802769,308.7959881
0.00318,-0.01,293.6
0.003958616587,-0.00873714833,305.0287848
0.00477,-0.01,293.6
0.005520183233,-0.008701877021,300.9914014
0.00636,-0.01,293.6
0.001401891784,-0.007303361536,318.9931774
0,-0.005915915751,326.4377878
0.00709345421,-0.008682442034,297.2050953
0.00795,-0.01,293.6
0.001296815499,-0.005017684983,319.7714521
0,-0.003830279688,331.0376787
0.008689079453,-0.008677220592,293.9992298
0.00954,-0.01,293.6
0.01029398599,-0.008683442776,294.4874577
0.01113,-0.01,293.6
0.01188840619,-0.008714349954,295.7914896
0.01272,-0.01,293.6
0.001150966201,-0.003325379957,325.4907929
0,-0.002690892428,337.4651438
0.01346354992,-0.00879522657,297.1601163
0.01431,-0.01,293.6
0.01480426303,-0.008912858532,297.7346661
0.0159,-0.01,293.6
0,-0.001680168262,345.3260583
0.0010867423,-0.002126663216,333.60668
0.0159,-0.007985573045,297.9992607
0,-9.27E-04,347.5158208
0.001136447556,-0.001278754308,344.1372432
0.01450586297,-0.007323624615,298.0206995
0.0159,-0.005971146289,297.9924176
8.51E-04,-7.22E-04,347.4726953
0,-4.52E-04,347.8841213
0.01462729781,-0.005006321802,297.9729106
0.0159,-0.004085027145,297.91912
0.0159,-0.002903618812,297.9499937
0.01465031787,-0.003243303085,297.9710311
0.0159,-0.001722210479,297.7485488
0.01465145964,-0.002016098222,297.8234028
0.0159,-9.12E-04,296.9150385
0.01502683367,-0.001142926897,297.1061114
0.0159,-4.41E-04,295.8555653
0.01516936619,-6.44E-04,296.2704708
0.003254027341,-0.007547392433,310.8789011
0.0047144021,-0.007420581597,305.6483313
0.006221715916,-0.00736351715,302.9173852
0.004008534147,-0.006283433467,302.1617914
0.002764524137,-0.005726144674,307.1757458
0.005276979631,-0.00555790332,299.6529078
0.007921333709,-0.007317965858,295.1894303
0.007009024371,-0.005702242421,298.7481396
0.003931534953,-0.004739152891,299.2881696
0.002478364897,-0.004115534162,306.6945506
0.004833288771,-0.003978393594,298.6705822
0.009436564988,-0.007160741314,294.8772652
0.006179569419,-0.003917710035,299.3827113
0.008531180045,-0.00542157582,294.8456708
0.007648412944,-0.004097118349,297.0166114
0.002230396774,-0.002757678641,312.9870322
0.01106230707,-0.007077930884,296.5432205
0.01263194788,-0.007248060099,297.6583162
0.003565348868,-0.003121332869,299.6733505
0.004584994595,-0.002858263598,298.454873
0.005374494187,-0.003094425561,298.6807166
0.01017370323,-0.005297643631,296.1724312
0.00612714949,-0.00265197308,299.0094092
0.006999702953,-0.003114722347,298.5526925
0.009175688833,-0.003614697081,295.2555103
0.007995312042,-0.002811762388,296.9708034
0.002043098929,-0.00167611778,325.1736677
0.003057859447,-0.002181043864,307.2388042
0.01194632399,-0.005090679538,297.6835958
