r,z,T (K)
0.001092321375,-0.008912130079,294.1232723
0,-0.01,293.6
0.00159,-0.01,293.6
0,-0.008001551815,295.3018292
0.002418285775,-0.0087802769,293.6136313
0.00318,-0.01,293.6
0.003958616587,-0.00873714833,293.9192303
0.00477,-0.01,293.6
0.005520183233,-0.008701877021,293.5711503
0.00636,-0.01,293.6
0.001401891784,-0.007303361536,296.7624553
0,-0.005915915751,303.2177822
0.00709345421,-0.008682442034,293.6812804
0.00795,-0.01,293.6
0.001296815499,-0.005017684983,323.4536023
0,-0.003830279688,331.2394276
0.008689079453,-0.008677220592,293.818302
0.00954,-0.01,293.6
0.01029398599,-0.008683442776,294.238619
0.01113,-0.01,293.6
0.01188840619,-0.008714349954,295.2992901
0.01272,-0.01,293.6
0.001150966201,-0.003325379957,331.3738359
0,-0.002690892428,337.8621565
0.01346354992,-0.00879522657,296.4632642
0.01431,-0.01,293.6
0.01480426303,-0.008912858532,296.9915722
0.0159,-0.01,293.6
0,-0.001680168262,340.6261962
0.0010867423,-0.002126663216,338.3061542
0.0159,-0.007985573045,297.2228307
0,-9.27E-04,342.366353
0.001136447556,-0.001278754308,345.6080731
0.01450586297,-0.007323624615,297.2558512
0.0159,-0.005971146289,297.2374071
8.51E-04,-7.22E-04,344.9638788
0,-4.52E-04,343.5103265
0.01462729781,-0.005006321802,297.2224482
0.0159,-0.004085027145,297.1762127
0.0159,-0.002903618812,297.1935823
0.01465031787,-0.003243303085,297.211499
0.0159,-0.001722210479,296.9932877
0.01465145964,-0.002016098222,297.0574602
0.0159,-9.12E-04,296.2490602
0.01502683367,-0.001142926897,296.4051035
0.0159,-4.41E-04,295.3778127
0.01516936619,-6.44E-04,295.708926
0.003254027341,-0.007547392433,294.300098
0.0047144021,-0.007420581597,295.9148597
0.006221715916,-0.00736351715,294.6336396
0.004008534147,-0.006283433467,308.6146173
0.002764524137,-0.005726144674,316.1916012
0.005276979631,-0.00555790332,308.5999942
0.007921333709,-0.007317965858,294.0887679
0.007009024371,-0.005702242421,296.2745289
0.003931534953,-0.004739152891,312.9298442
0.002478364897,-0.004115534162,321.0153103
0.004833288771,-0.003978393594,306.6759309
0.009436564988,-0.007160741314,294.5450649
0.006179569419,-0.003917710035,307.5881227
0.008531180045,-0.00542157582,294.3179668
0.007648412944,-0.004097118349,295.8140756
0.002230396774,-0.002757678641,327.2572846
0.01106230707,-0.007077930884,295.9333571
0.01263194788,-0.007248060099,296.8997333
0.003565348868,-0.003121332869,309.3806722
0.004584994595,-0.002858263598,304.5474365
0.005374494187,-0.003094425561,304.0260389
0.01017370323,-0.005297643631,295.6488215
0.00612714949,-0.00265197308,304.7499891
0.006999702953,-0.003114722347,304.4906982
0.009175688833,-0.003614697081,294.759838
0.007995312042,-0.002811762388,296.8318557
0.002043098929,-0.00167611778,337.0723683
0.003057859447,-0.002181043864,320.3811736
0.01194632399,-0.005090679538,296.9063493
0.01338723583,-0.00567325051,297.2348003
0.004005267523,-0.002149845962,307.3959127
0.005147468657,-0.002065787499,303.078511
0.006101160368,-0.001908411355,303.8450563
0.01078175791,-0.003636160299,296.0049102
0.01003110163,-0.002749507944,295.124933
0.007060228286,-0.002123263696,305.1758685
0.008023613963,-0.001919907883,298.8581134
0.009048881309,-0.002171879746,295.3424301
0.01006967973,-0.001990187731,295.1350369
0.002062537152,-0.00112390293,347.069169
0.003216358423,-0.001412375598,327.1891172
0.001925634638,-7.88E-04,346.7546484
0.0121417596,-0.003302788156,296.7908427
0.01333593619,-0.004075039464,297.1968142
0.001041666667,-4.52E-04,345.5433875
0.004467266057,-0.00135800802,308.3394143
0.00557347443,-0.001340735312,302.7288404
0.00659748098,-0.001360297186,303.2381566
0.01107950034,-0.002334614862,295.6925071
0.01230915188,-0.002101751261,296.3124313
0.00761282543,-0.001382891716,303.0528743
0.008521459715,-0.001299209001,298.4115135
0.009564885478,-0.001311240444,295.4625209
0.01057602365,-0.001443548519,295.2034242
0.002989868195,-8.45E-04,345.2360847
0.004081335698,-8.58E-04,327.3933437
0.002083333333,-4.66E-04,347.9362799
0.01339788729,-0.002578483514,297.0203176
0.01302639814,-0.001739381249,296.3935874
0.01366684805,-0.001698094556,296.6027409
0.005185351222,-8.54E-04,308.7689659
0.006198585635,-8.59E-04,302.3212406
0.007255846007,-8.72E-04,301.406761
0.01330011604,-0.001361696398,296.1539986
0.01163419575,-0.001471356369,295.5328864
0.01257477796,-0.001335662721,295.8189991
0.008286253032,-8.90E-04,300.4241917
0.009319327138,-9.14E-04,297.0547402
0.01006906697,-9.25E-04,295.4534647
0.01112896337,-9.13E-04,295.2337646
0.003125,-4.77E-04,355.8614461
0.004166666667,-4.87E-04,340.8670117
0.01402127807,-0.001220264074,296.2848678
0.005208333333,-4.94E-04,319.0532765
0.00625,-5.00E-04,305.6077015
0.007291666667,-5.07E-04,300.7352541
0.01320432313,-8.66E-04,295.5618554
0.01215177889,-8.82E-04,295.4194022
0.008333333333,-5.15E-04,300.7516978
0.009375,-5.24E-04,297.8941992
0.01041666667,-5.21E-04,295.6498963
0.01145833333,-5.05E-04,295.1258696
0.01384828573,-7.50E-04,295.6072196
0.01445887257,-8.25E-04,295.8062699
0.01335,-4.56E-04,295.5725259
0.0125,-4.80E-04,295.5578507
0.0142,-4.36E-04,295.5091061
0.01505,-4.31E-04,295.4471538
0,-2.05E-04,345.3023068
0.001041666667,-2.05E-04,347.5021932
0,0,368.476088
0.001041666667,0,368.4603083
0.002083333333,-2.12E-04,350.2283993
0.002083333333,0,368.4129228
0.003125,-2.17E-04,352.4313726
0.003125,0,368.3288437
0.004166666667,-2.21E-04,366.0789852
0.004166666667,0,368.2004283
0.005208333333,-2.24E-04,348.0894782
0.005208333333,0,368.0138877
0.00625,-2.27E-04,326.5289048
0.00625,0,367.7591909
0.007291666667,-2.31E-04,308.3843488
0.007291666667,0,367.3967322
0.008333333333,-2.34E-04,297.6700844
0.008333333333,0,366.8745124
0.009375,-2.38E-04,301.8229397
0.009375,0,366.2334431
0.01041666667,-2.37E-04,298.3167521
0.01041666667,0,365.7810049
0.01145833333,-2.29E-04,295.0582884
0.01145833333,0,365.5106587
0.0125,-2.18E-04,291.3656007
0.0125,0,365.2281295
0.01335,-2.07E-04,292.4882753
0.01335,0,339.8275339
0.01505,-1.96E-04,293.8289522
0.0159,-2.01E-04,294.4908503
0.0142,-1.98E-04,293.2416174
0.0142,0,329.0250354
0.01505,0,324.0111914
0.0159,0,321.8146597
0.001604834813,7.90E-04,368.4750138
7.50E-04,7.22E-04,368.5016767
0,0.001122506281,368.5473195
0.002579023936,8.16E-04,368.4141391
0.001065871002,0.001737784752,368.5911361
0,0.002363882709,368.7081962
0.003594167834,9.14E-04,368.3186847
0.00464589401,0.001003696941,368.1751919
0.001127288083,0.003094433173,368.8160157
0,0.003736717289,368.9798082
0.005717802914,0.001003355915,367.9660452
0.006703203063,8.95E-04,367.6995775
0.007836592717,9.03E-04,367.3175106
0.01177983418,7.16E-04,365.9595474
0.008870778687,9.85E-04,366.9429891
0.009921090313,0.001016303817,366.5876725
0.01094911843,8.38E-04,366.2069881
0.001244547542,0.004527025606,369.1521908
0,0.00525493043,369.3788912
0.0125,0.001087538004,366.1596806
0.001317049259,0.006075194718,369.6092793
0,0.006933917557,369.9146365
0.01163689816,0.001643887306,366.6141405
0.0125,0.002286653719,366.9603123
0.001559878304,0.007821057961,370.2089393
0,0.008790704405,370.5885153
0.01149318242,0.002909673492,367.3893619
0.0125,0.00360879419,367.7266053
0.001924116695,0.009792326665,370.9589758
0,0.01084411872,371.3980826
0.01131001265,0.004265837773,368.127327
0.0125,0.005035170044,368.4706612
0,0.0131149835,372.3432289
0.002053548012,0.01201174742,371.8661949
0.0125,0.006571515812,369.2182257
0.01110360821,0.005793545202,368.8897735
0,0.0156263254,373.4266441
0.002186642879,0.01446847648,372.9144177
0.0125,0.008269355036,370.0080562
0.01094603162,0.007316252038,369.6063104
0.0125,0.01008707851,370.8334812
0.01077854923,0.009155152623,370.4460481
0,0.01840361064,374.6546785
0.00237596415,0.01709466397,374.0658422
0.0125,0.0120875731,371.7313696
0.01064673194,0.01104027669,371.291422
0.002556352677,0.01990964227,375.3242705
0,0.02147500174,376.0378984
0.0125,0.01429702134,372.7205761
0.01054988728,0.01316611412,372.2406085
0.0125,0.01683046299,373.8579911
0.01019028249,0.0155748246,373.3207473
0.002855778317,0.02302581738,376.7380494
0,0.02487164327,377.5912601
0.0125,0.01964465969,375.1299149
0.00992923761,0.01822769558,374.5152905
0,0.02862797847,379.33275
0.003682861765,0.02678510989,378.4664387
0.009956617525,0.02114891041,375.8389907
0.0125,0.02274756817,376.5454358
0.003243849351,0.03117789491,380.5208064
0,0.03278209788,381.2846483
0.0125,0.026168808,378.1223938
0.009118630004,0.02439043481,377.3307272
0.003179654056,0.03559066629,382.6134026
0,0.03736181717,383.4678665
0.009562386493,0.02783560698,378.9227903
0.0125,0.02994103582,379.8818815
