r,z,T (K)
0.001092321375,-0.008912130079,314.7666696
0,-0.01,293.6
0.00159,-0.01,293.6
0,-0.008001551815,320.4771174
0.002418285775,-0.0087802769,312.2872228
0.00318,-0.01,293.6
0.003958616587,-0.00873714833,306.1885204
0.00477,-0.01,293.6
0.005520183233,-0.008701877021,302.0990743
0.00636,-0.01,293.6
0.001401891784,-0.007303361536,315.3460743
0,-0.005915915751,324.1502971
0.00709345421,-0.008682442034,298.5402051
0.00795,-0.01,293.6
0.001296815499,-0.005017684983,316.1071843
0,-0.003830279688,328.9191574
0.008689079453,-0.008677220592,294.0709328
0.00954,-0.01,293.6
0.01029398599,-0.008683442776,294.5656471
0.01113,-0.01,293.6
0.01188840619,-0.008714349954,295.8107436
0.01272,-0.01,293.6
0.001150966201,-0.003325379957,322.00368
0,-0.002690892428,336.0513576
0.01346354992,-0.00879522657,297.0580009
0.01431,-0.01,293.6
0.01480426303,-0.008912858532,297.5326764
0.0159,-0.01,293.6
0,-0.001680168262,345.1475789
0.0010867423,-0.002126663216,330.9112349
0.0159,-0.007985573045,297.7786727
0,-9.27E-04,349.3102828
0.001136447556,-0.001278754308,342.8985845
0.01450586297,-0.007323624615,297.8065595
0.0159,-0.005971146289,297.7897026
8.51E-04,-7.22E-04,349.0641514
0,-4.52E-04,349.4289555
0.01462729781,-0.005006321802,297.7698712
0.0159,-0.004085027145,297.7217623
0.0159,-0.002903618812,297.7504477
0.01465031787,-0.003243303085,297.7688338
0.0159,-0.001722210479,297.5821977
0.01465145964,-0.002016098222,297.6501201
0.0159,-9.12E-04,296.8731382
0.01502683367,-0.001142926897,297.0572662
0.0159,-4.41E-04,295.7901213
0.01516936619,-6.44E-04,296.2460118
0.003254027341,-0.007547392433,303.3574423
0.0047144021,-0.007420581597,298.9431178
0.006221715916,-0.00736351715,299.1480951
0.004008534147,-0.006283433467,297.7171226
0.002764524137,-0.005726144674,302.1349989
0.005276979631,-0.00555790332,296.7506349
0.007921333709,-0.007317965858,295.2914692
0.007009024371,-0.005702242421,296.7664045
0.003931534953,-0.004739152891,296.699325
0.002478364897,-0.004115534162,302.6756885
0.004833288771,-0.003978393594,296.477806
0.009436564988,-0.007160741314,294.9591172
0.006179569419,-0.003917710035,296.9075992
0.008531180045,-0.00542157582,294.9765402
0.007648412944,-0.004097118349,295.8295744
0.002230396774,-0.002757678641,308.5236031
0.01106230707,-0.007077930884,296.5213155
0.01263194788,-0.007248060099,297.510062
0.003565348868,-0.003121332869,297.3461218
0.004584994595,-0.002858263598,296.4051091
0.005374494187,-0.003094425561,296.5174259
0.01017370323,-0.005297643631,296.1967839
0.00612714949,-0.00265197308,296.6639323
0.006999702953,-0.003114722347,296.4326445
0.009175688833,-0.003614697081,295.3839649
0.007995312042,-0.002811762388,295.7957389
0.002043098929,-0.00167611778,320.5425245
0.003057859447,-0.002181043864,303.604305
0.01194632399,-0.005090679538,297.5461948
0.01338723583,-0.00567325051,297.7912886
0.004005267523,-0.002149845962,297.1321033
0.005147468657,-0.002065787499,296.1993027
0.006101160368,-0.001908411355,296.391254
0.01078175791,-0.003636160299,296.6125784
0.01003110163,-0.002749507944,295.7675445
0.007060228286,-0.002123263696,296.3993733
0.008023613963,-0.001919907883,295.8885857
0.009048881309,-0.002171879746,295.4792712
0.01006967973,-0.001990187731,295.6266582
0.002062537152,-0.00112390293,333.3833673
0.003216358423,-0.001412375598,308.5422931
0.001925634638,-7.88E-04,345.9066607
0.0121417596,-0.003302788156,297.4386899
0.01333593619,-0.004075039464,297.7643457
0.001041666667,-4.52E-04,352.4377062
0.004467266057,-0.00135800802,297.9916026
0.00557347443,-0.001340735312,296.0513743
0.00659748098,-0.001360297186,296.2387139
0.01107950034,-0.002334614862,296.3593996
0.01230915188,-0.002101751261,296.9906856
0.00761282543,-0.001382891716,296.0942331
0.008521459715,-0.001299209001,295.7706303
0.009564885478,-0.001311240444,295.4971572
0.01057602365,-0.001443548519,295.6693704
0.002989868195,-8.45E-04,328.3499851
0.004081335698,-8.58E-04,309.7657188
0.002083333333,-4.66E-04,355.209242
0.01339788729,-0.002578483514,297.6284611
0.01302639814,-0.001739381249,297.0591875
0.01366684805,-0.001698094556,297.243857
0.005185351222,-8.54E-04,298.866608
0.006198585635,-8.59E-04,295.855324
0.007255846007,-8.72E-04,295.9020527
0.01330011604,-0.001361696398,296.8271853
0.01163419575,-0.001471356369,296.1663835
0.01257477796,-0.001335662721,296.4819209
0.008286253032,-8.90E-04,295.9098345
0.009319327138,-9.14E-04,295.6464579
0.01006906697,-9.25E-04,295.5106075
0.01112896337,-9.13E-04,295.610436
0.003125,-4.77E-04,342.6766719
0.004166666667,-4.87E-04,322.3947277
0.01402127807,-0.001220264074,296.9487369
0.005208333333,-4.94E-04,305.7546855
0.00625,-5.00E-04,297.4633059
0.007291666667,-5.07E-04,296.0590136
0.01320432313,-8.66E-04,296.1450505
0.01215177889,-8.82E-04,295.9264534
0.008333333333,-5.15E-04,296.058468
0.009375,-5.24E-04,295.7958893
0.01041666667,-5.21E-04,295.3917764
0.01145833333,-5.05E-04,295.3183816
0.01384828573,-7.50E-04,296.1636012
0.01445887257,-8.25E-04,296.40557
0.01335,-4.56E-04,295.9330787
0.0125,-4.80E-04,295.8772691
0.0142,-4.36E-04,295.8948291
0.01505,-4.31E-04,295.8332703
0,-2.05E-04,350.2595415
0.001041666667,-2.05E-04,355.1137737
0,0,366.2786196
0.001041666667,0,366.2602418
0.002083333333,-2.12E-04,353.4324234
0.002083333333,0,366.2027679
0.003125,-2.17E-04,364.531812
0.003125,0,366.1044348
0.004166666667,-2.21E-04,352.079473
0.004166666667,0,365.9524515
0.005208333333,-2.24E-04,331.6919031
0.005208333333,0,365.7397143
0.00625,-2.27E-04,312.6393765
0.00625,0,365.4448974
0.007291666667,-2.31E-04,297.1918827
0.007291666667,0,365.0178438
0.008333333333,-2.34E-04,295.6073188
0.008333333333,0,364.4155731
0.009375,-2.38E-04,299.203004
0.009375,0,363.8049202
0.01041666667,-2.37E-04,296.6681093
0.01041666667,0,363.4371822
0.01145833333,-2.29E-04,294.2837049
0.01145833333,0,363.2450427
0.0125,-2.18E-04,291.3670571
0.0125,0,363.0105847
0.01335,-2.07E-04,292.5696008
0.01335,0,340.1651727
0.01505,-1.96E-04,294.0668627
0.0159,-2.01E-04,294.8661528
0.0142,-1.98E-04,293.4002368
0.0142,0,329.8194503
0.01505,0,324.9023614
0.0159,0,322.6448225
0.001604834813,7.90E-04,366.2658957
7.50E-04,7.22E-04,366.297955
