r,z,T (K)
0.0010923213751403583,-0.008912130079477115,314.87259475199477
0,-0.01,293.6
0.0015900000000000016,-0.01,293.6
0,-0.008001551814866212,320.5976567716322
0.0024182857745394565,-0.008780276900156746,312.3907325445353
0.0031799999999999997,-0.01,293.6
0.003958616586725416,-0.008737148329617913,306.272812987594
0.004769999999999999,-0.01,293.6
0.005520183232921507,-0.008701877020692078,302.16477297966225
0.006360000000000001,-0.01,293.6
0.001401891783819312,-0.007303361536051967,315.46252133261754
0,-0.005915915751298009,324.283105402569
0.007093454210464242,-0.008682442034373598,298.57982143567557
0.00795,-0.01,293.6
0.0012968154991930424,-0.005017684982778315,316.2272987691479
0,-0.003830279687729805,329.0644228370599
0.008689079452833724,-0.008677220591505922,294.11458153259713
0.009540000000000002,-0.010000000000000002,293.6
0.01029398598824756,-0.008683442775516028,294.6828538641908
0.01113,-0.009999999999999998,293.6
0.011888406191798205,-0.008714349954441716,296.0752267940877
0.012720000000000002,-0.01,293.6
0.0011509662012317522,-0.003325379956622414,322.13963134283404
0,-0.002690892428126992,336.21096241477875
0.01346354992057357,-0.008795226569717613,297.47060740819535
0.014310000000000002,-0.010000000000000002,293.6
0.014804263025004923,-0.008912858532110976,298.0022899646944
0.0159,-0.01,293.6
0,-0.0016801682620822378,345.32291037354753
0.0010867422997792426,-0.0021266632162769286,331.06350361153414
0.0159,-0.007985573045485734,298.2779397966367
0,-9.267702831536007E-4,349.494381472475
0.001136447555748947,-0.0012787543078173452,343.07044973477645
0.014505862966828301,-0.007323624615350799,298.3075592965752
0.0159,-0.00597114628910594,298.2873510940645
8.51378266656291E-4,-7.21796770379055E-4,349.248462084141
0,-4.518095836649938E-4,349.6144848281626
0.014627297811796218,-0.005006321802343763,298.26582598864303
0.0159,-0.004085027144594982,298.21411199820113
0.0159,-0.002903618811893188,298.2444942884553
0.014650317866333381,-0.003243303084925782,298.2646808793575
0.0159,-0.0017222104791913928,298.05688040194264
0.014651459639085566,-0.0020160982222032263,298.13216939957556
0.0159,-9.123081016219635E-4,297.26934917697236
0.015026833672427202,-0.0011429268966495034,297.4757206019959
0.0159,-4.411146820844299E-4,296.0551614915591
0.015169366190486528,-6.441239309885479E-4,296.5623209817607
0.00325402734090024,-0.007547392432696801,303.43862740319327
0.004714402100226416,-0.007420581597051453,299.008330926795
0.006221715916001701,-0.0073635171496785395,299.21075356100533
0.004008534147225701,-0.006283433466562674,297.77586136398907
0.0027645241365675255,-0.005726144674243794,302.21331038973943
0.00527697963100684,-0.0055579033195137925,296.7988201105523
0.007921333709290298,-0.007317965857565816,295.33994562447043
0.007009024370914051,-0.005702242421075537,296.80139633009964
0.003931534952989266,-0.004739152890689175,296.75335754102707
0.0024783648967623426,-0.004115534162035296,302.7569497750396
0.00483328877147456,-0.003978393594209732,296.525302948612
0.009436564988456126,-0.007160741313502228,295.1255119113608
0.006179569419400888,-0.003917710035060667,296.9398493397653
0.008531180045109839,-0.005421575820347059,295.10731908054044
