Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 4:45:35 PM.68,33.4,100,21.3,30.6,35.8,23.3,37.5,26,39.5,28.1,0.1,5,-30.41,3.87,0,17.14
2/13/2025 4:45:36 PM.18,33.4,100,21.3,30.6,35.8,23.3,37.5,26,39.5,28.1,0.1,5,-30.3,3.81,0,17.05
2/13/2025 4:45:36 PM.68,33.6,100,21.3,30.7,35.7,23.2,37.5,26,39.5,28,0.1,6,-30.27,3.83,0,17.05
2/13/2025 4:45:37 PM.18,33.5,100,21.3,30.6,35.7,23.2,37.5,26,39.5,28.1,0.1,5,-30.23,3.85,0,17.04
2/13/2025 4:45:37 PM.68,33.4,100,21.3,30.7,35.7,23.2,37.5,25.9,39.5,28,0.1,5,-30.3,3.84,0,17.07
2/13/2025 4:45:38 PM.18,33.4,100,21.1,30.6,35.8,23.3,37.5,25.9,39.5,28.1,0.1,5,-30.3,3.84,0,17.07
2/13/2025 4:45:38 PM.68,33.4,100,21.1,30.6,35.7,23.3,37.5,25.9,39.4,28,0.1,6,-30.41,3.84,0,17.12
2/13/2025 4:45:39 PM.18,33.4,100,21.1,30.6,35.8,23.3,37.5,25.9,39.5,28.1,0.1,5,-30.41,3.82,0,17.11
2/13/2025 4:45:39 PM.68,33.4,100,21.1,30.6,35.8,23.3,37.5,25.9,39.5,28,0.09,5,-30.52,3.85,0,17.18
2/13/2025 4:45:40 PM.18,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28,0.1,5,-30.63,3.8,0,17.21
2/13/2025 4:45:40 PM.68,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28.1,0.1,5,-30.52,3.85,0,17.18
2/13/2025 4:45:41 PM.18,33.4,100,21.1,30.6,35.7,23.3,37.5,25.9,39.6,28.1,0.09,5,-30.74,3.82,0,17.28
2/13/2025 4:45:41 PM.68,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28,0.1,5,-30.41,3.85,0,17.13
2/13/2025 4:45:42 PM.18,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28,0.1,5,-30.63,3.83,0,17.23
2/13/2025 4:45:42 PM.68,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.6,28,0.1,5,-30.87,3.83,0,17.35
2/13/2025 4:45:43 PM.18,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.4,28.1,0.09,5,-30.41,3.83,0,17.12
2/13/2025 4:45:43 PM.68,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28.1,0.1,5,-30.54,3.83,0,17.19
2/13/2025 4:45:44 PM.18,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28,0.09,5,-30.3,3.85,0,17.07
2/13/2025 4:45:44 PM.68,33.4,100,21.2,30.6,35.7,23.3,37.5,25.9,39.5,28,0.09,6,-30.21,3.83,0,17.02
2/13/2025 4:45:45 PM.18,33.4,100,21.2,30.5,35.7,23.3,37.5,25.9,39.5,28,0.09,5,-30.41,3.82,0,17.11
2/13/2025 4:45:45 PM.68,33.4,100,21.1,30.5,35.7,23.3,37.5,25.9,39.5,28.1,0.1,6,-30.54,3.84,0,17.19
2/13/2025 4:45:46 PM.18,33.4,100,21.1,30.6,35.7,23.3,37.5,25.9,39.6,28,0.1,5,-30.63,3.84,0,17.23
2/13/2025 4:45:46 PM.68,33.4,100,21,30.5,35.7,23.3,37.5,25.9,39.5,28.1,0.1,6,-30.63,3.86,0,17.24
2/13/2025 4:45:47 PM.18,33.4,100,21.1,30.5,35.7,23.3,37.5,25.9,39.5,28.1,0.1,6,-30.52,3.85,0,17.18
2/13/2025 4:45:47 PM.68,33.4,100,21.1,30.5,35.7,23.3,37.5,25.9,39.6,28,0.1,6,-30.65,3.87,0,17.26
2/13/2025 4:45:48 PM.18,33.4,100,21.1,30.5,35.7,23.3,37.5,25.9,39.5,28.1,0.1,6,-30.63,3.83,0,17.23
2/13/2025 4:45:48 PM.68,33.4,100,21.1,30.5,35.7,23.3,37.5,25.9,39.5,28,0.1,6,-30.43,3.8,0,17.11
2/13/2025 4:45:49 PM.18,33.3,100,21.2,30.5,35.7,23.3,37.5,25.9,39.5,27.9,0.1,6,-30.54,3.74,0,17.14
