Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 3:08:31 PM.43,31.1,100,19.5,28.4,33.6,21,35.9,23.6,38.6,25.7,0.1,23,-24.15,3.59,0,13.87
2/13/2025 3:08:31 PM.93,31.1,100,19.5,28.4,33.6,21.1,35.9,23.6,38.6,25.6,0.1,23,-24.02,3.62,0,13.82
2/13/2025 3:08:32 PM.43,31.1,100,19.5,28.4,33.6,21.1,35.9,23.6,38.6,25.7,0.09,23,-24.02,3.65,0,13.84
2/13/2025 3:08:32 PM.93,31.1,100,19.5,28.4,33.6,21.1,35.9,23.6,38.6,25.7,0.1,23,-24.02,3.64,0,13.83
2/13/2025 3:08:33 PM.43,31.2,100,19.6,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.1,23,-23.99,3.62,0,13.81
2/13/2025 3:08:33 PM.93,31.2,100,19.6,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.1,23,-23.99,3.6,0,13.8
2/13/2025 3:08:34 PM.43,31.2,100,19.6,28.5,33.6,21.1,35.9,23.6,38.6,25.6,0.1,23,-23.99,3.6,0,13.8
2/13/2025 3:08:34 PM.93,31.2,100,19.7,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.09,22,-23.99,3.58,0,13.79
2/13/2025 3:08:35 PM.43,31.2,100,19.7,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.1,22,-23.97,3.58,0,13.78
2/13/2025 3:08:35 PM.93,31.3,100,19.7,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.09,23,-23.99,3.58,0,13.79
2/13/2025 3:08:36 PM.43,31.3,100,19.7,28.5,33.6,21.1,35.9,23.6,38.6,25.7,0.09,23,-23.95,3.57,0,13.76
2/13/2025 3:08:36 PM.93,31.2,100,19.5,28.5,33.6,21.1,35.9,23.7,38.6,25.7,0.09,23,-24.1,3.62,0,13.86
2/13/2025 3:08:37 PM.43,31.2,100,19.5,28.5,33.6,21.1,35.9,23.7,38.6,25.7,0.09,23,-24.1,3.64,0,13.87
2/13/2025 3:08:37 PM.93,31.2,100,19.6,28.5,33.6,21.1,35.9,23.7,38.5,25.7,0.1,23,-24.1,3.64,0,13.87
2/13/2025 3:08:38 PM.43,31.2,100,19.6,28.5,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-24.09,3.61,0,13.85
2/13/2025 3:08:38 PM.93,31.2,100,19.7,28.5,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-23.99,3.63,0,13.81
2/13/2025 3:08:39 PM.43,31.2,100,19.7,28.5,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-23.97,3.57,0,13.77
2/13/2025 3:08:39 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.4,25.7,0.09,23,-23.86,3.55,0,13.7
2/13/2025 3:08:40 PM.43,31.2,100,19.7,28.5,33.7,21.1,35.9,23.7,38.5,25.7,0.1,23,-24.2,3.58,0,13.89
2/13/2025 3:08:40 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.09,23,-24.2,3.56,0,13.88
2/13/2025 3:08:41 PM.43,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.1,22,-24.09,3.63,0,13.86
2/13/2025 3:08:41 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-23.97,3.61,0,13.79
2/13/2025 3:08:42 PM.43,31.2,100,19.7,28.6,33.7,21.1,35.9,23.7,38.6,25.8,0.09,23,-23.86,3.61,0,13.74
2/13/2025 3:08:42 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.09,22,-23.86,3.61,0,13.74
2/13/2025 3:08:43 PM.43,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.5,25.8,0.09,23,-23.86,3.61,0,13.74
2/13/2025 3:08:43 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.09,23,-23.97,3.61,0,13.79
2/13/2025 3:08:44 PM.43,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-23.99,3.64,0,13.82
2/13/2025 3:08:44 PM.93,31.2,100,19.7,28.6,33.6,21.1,35.9,23.7,38.6,25.8,0.1,23,-23.99,3.63,0,13.81
2/13/2025 3:08:45 PM.43,31.2,100,19.7,28.5,33.6,21.1,35.9,23.7,38.6,25.8,0.1,23,-24.12,3.63,0,13.87
2/13/2025 3:08:45 PM.93,31.2,100,19.6,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.1,23,-24.01,3.63,0,13.82
2/13/2025 3:08:46 PM.43,31.2,100,19.6,28.6,33.6,21.1,35.9,23.7,38.6,25.7,0.09,23,-23.89,3.65,0,13.77
2/13/2025 3:08:46 PM.93,31.2,100,19.6,28.6,33.6,21.1,35.9,23.7,38.6,25.8,0.1,23,-23.89,3.67,0,13.78
2/13/2025 3:08:47 PM.43,31.2,100,19.6,28.6,33.7,21.1,35.9,23.7,38.6,25.7,0.09,23,-23.78,3.66,0,13.72
2/13/2025 3:08:47 PM.93,31.2,100,19.6,28.6,33.7,21.1,35.9,23.7,38.6,25.8,0.1,23,-24.01,3.67,0,13.84
