Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
1/30/2025 2:21:15 PM.19,32.9,48,20.8,30.1,35.2,22.5,37.3,25,39.6,27.2,0.08,1000,-6.17,3.8,0,4.99
1/30/2025 2:21:15 PM.69,32.9,48,20.7,30,35.2,22.5,37.3,25,39.6,27.2,0.09,1000,-6.12,3.77,0,4.95
1/30/2025 2:21:16 PM.19,32.9,48,20.8,30,35.2,22.5,37.3,25,39.7,27.3,0.09,1000,-6.17,3.81,0,4.99
1/30/2025 2:21:16 PM.69,32.8,48,20.7,30,35.2,22.5,37.3,25,39.6,27.2,0.09,1000,-6.21,3.81,0,5.01
1/30/2025 2:21:17 PM.19,32.8,48.1,20.8,30.1,35.1,22.5,37.3,25,39.6,27.3,0.09,1000,-6.21,3.81,0,5.01
1/30/2025 2:21:17 PM.68,32.8,48,20.8,30.1,35.1,22.5,37.3,25,39.6,27.2,0.09,1000,-6.19,3.79,0,4.99
1/30/2025 2:21:18 PM.18,32.9,48.1,20.8,30.1,35.1,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.22,3.79,0,5.01
1/30/2025 2:21:18 PM.68,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.19,3.78,0,4.98
1/30/2025 2:21:19 PM.19,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.12,3.79,0,4.95
1/30/2025 2:21:19 PM.69,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.17,3.81,0,4.99
1/30/2025 2:21:20 PM.19,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25,39.6,27.2,0.09,1000,-6.17,3.82,0,5
1/30/2025 2:21:20 PM.68,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.8,0,4.99
1/30/2025 2:21:21 PM.18,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.82,0,5
1/30/2025 2:21:21 PM.69,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.09,1000,-6.19,3.79,0,4.99
1/30/2025 2:21:22 PM.19,32.9,48,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.2,3.86,0,5.03
1/30/2025 2:21:22 PM.69,32.9,48,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.19,3.84,0,5.02
1/30/2025 2:21:23 PM.19,32.9,48,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.09,1000,-6.15,3.88,0,5.01
1/30/2025 2:21:23 PM.69,32.9,48,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.15,3.87,0,5.01
1/30/2025 2:21:24 PM.19,32.9,48,20.7,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.87,0,5.02
1/30/2025 2:21:24 PM.68,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.17,3.81,0,4.99
1/30/2025 2:21:25 PM.19,32.9,48,20.7,30,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.2,3.81,0,5.01
1/30/2025 2:21:25 PM.69,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.15,3.76,0,4.95
1/30/2025 2:21:26 PM.18,32.9,48,20.7,30,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.81,0,4.99
1/30/2025 2:21:26 PM.69,32.9,48.1,20.8,30.1,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.78,0,4.97
1/30/2025 2:21:27 PM.19,32.9,48,20.6,30,35.2,22.5,37.3,25.1,39.6,27.3,0.09,1000,-6.22,3.85,0,5.04
1/30/2025 2:21:27 PM.69,32.9,48,20.6,30,35.2,22.5,37.3,25.1,39.6,27.2,0.09,1000,-6.2,3.84,0,5.02
1/30/2025 2:21:28 PM.19,32.8,48,20.6,30,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.17,3.84,0,5
1/30/2025 2:21:28 PM.69,32.8,48,20.6,30,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.15,3.87,0,5.01
1/30/2025 2:21:29 PM.19,32.7,48,20.5,30,35.2,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.21,3.94,0,5.08
1/30/2025 2:21:29 PM.69,32.7,48,20.5,30,35.2,22.5,37.3,25.1,39.6,27.3,0.09,1000,-6.17,3.83,0,5
1/30/2025 2:21:30 PM.19,32.7,48,20.5,30,35.2,22.5,37.3,25.1,39.6,27.2,0.08,1000,-6.16,3.89,0,5.02
1/30/2025 2:21:30 PM.69,32.7,48,20.5,30,35.2,22.5,37.3,25.1,39.7,27.3,0.09,1000,-6.15,3.8,0,4.97
1/30/2025 2:21:31 PM.18,32.7,48,20.5,30,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.21,3.85,0,5.03
1/30/2025 2:21:31 PM.68,32.8,48,20.5,29.9,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.21,3.9,0,5.06
1/30/2025 2:21:32 PM.19,32.7,48,20.5,29.9,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.29,3.9,0,5.1
1/30/2025 2:21:32 PM.68,32.8,48,20.5,29.9,35.2,22.5,37.3,25.1,39.7,27.3,0.08,1000,-6.24,3.87,0,5.06
1/30/2025 2:21:33 PM.19,32.8,48,20.5,29.9,35.2,22.5,37.3,25.1,39.6,27.3,0.09,1000,-6.19,3.88,0,5.04
1/30/2025 2:21:33 PM.69,32.8,48,20.5,29.9,35.2,22.5,37.3,25.1,39.6,27.3,0.08,1000,-6.19,3.87,0,5.03
