Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
1/30/2025 2:41:25 PM.19,34,61.7,21,31.2,36.3,23.1,38.3,26,40.4,28.3,0.08,1000,-11.33,3.62,0,7.48
1/30/2025 2:41:25 PM.69,34,61.7,21.2,31.2,36.3,23.1,38.3,26,40.3,28.3,0.09,1000,-11.33,3.63,0,7.48
1/30/2025 2:41:26 PM.19,34,61.7,21.2,31.2,36.3,23.1,38.2,26,40.4,28.3,0.08,1000,-11.29,3.57,0,7.43
1/30/2025 2:41:26 PM.69,34,61.7,21,31.2,36.3,23.1,38.2,26,40.4,28.3,0.09,1000,-11.22,3.65,0,7.44
1/30/2025 2:41:27 PM.19,34,61.8,21,31.2,36.3,23.1,38.2,26,40.4,28.3,0.08,1000,-11.17,3.55,0,7.36
1/30/2025 2:41:27 PM.69,34,61.8,21,31.2,36.3,23.1,38.2,26,40.4,28.3,0.09,1000,-11.31,3.63,0,7.47
1/30/2025 2:41:28 PM.18,34,61.9,21.1,31.2,36.3,23.1,38.2,26,40.4,28.3,0.09,1000,-11.31,3.6,0,7.45
1/30/2025 2:41:28 PM.69,34.1,61.9,21.1,31.2,36.3,23.1,38.3,26,40.4,28.3,0.08,1000,-11.26,3.62,0,7.44
1/30/2025 2:41:29 PM.19,34.1,61.9,21.1,31.2,36.3,23.1,38.3,26,40.4,28.3,0.09,1000,-11.31,3.6,0,7.45
1/30/2025 2:41:29 PM.69,34.1,61.9,21.1,31.2,36.3,23.1,38.2,26,40.4,28.3,0.08,1000,-11.35,3.58,0,7.47
1/30/2025 2:41:30 PM.19,34.1,61.9,21.1,31.2,36.3,23.1,38.3,26,40.4,28.3,0.09,1000,-11.35,3.6,0,7.48
1/30/2025 2:41:30 PM.69,34.1,61.9,21.1,31.2,36.3,23.1,38.2,26,40.4,28.3,0.08,1000,-11.35,3.58,0,7.47
1/30/2025 2:41:31 PM.18,34.1,61.9,21.1,31.3,36.3,23.1,38.3,26,40.4,28.3,0.09,1000,-11.4,3.58,0,7.49
1/30/2025 2:41:31 PM.68,34.1,61.9,21.1,31.2,36.3,23.1,38.2,26,40.4,28.3,0.08,1000,-11.42,3.6,0,7.51
1/30/2025 2:41:32 PM.18,34.1,61.9,21.1,31.3,36.3,23.1,38.3,26,40.4,28.3,0.09,1000,-11.37,3.62,0,7.5
1/30/2025 2:41:32 PM.68,34,61.9,21,31.2,36.3,23,38.3,26,40.4,28.3,0.09,1000,-11.3,3.63,0,7.47
1/30/2025 2:41:33 PM.19,34,61.9,21.1,31.2,36.3,23,38.3,26,40.4,28.3,0.09,1000,-11.39,3.63,0,7.51
1/30/2025 2:41:33 PM.69,34,61.9,21,31.2,36.3,23,38.3,26,40.4,28.3,0.09,1000,-11.39,3.58,0,7.49
1/30/2025 2:41:34 PM.19,34,61.9,21.1,31.2,36.3,23,38.3,25.9,40.4,28.3,0.09,1000,-11.35,3.65,0,7.5
1/30/2025 2:41:34 PM.69,34,62,21,31.2,36.3,23,38.3,25.9,40.4,28.3,0.08,1000,-11.37,3.6,0,7.48
1/30/2025 2:41:35 PM.19,34,62,21.1,31.2,36.3,23,38.3,25.9,40.4,28.3,0.09,1000,-11.46,3.65,0,7.56
1/30/2025 2:41:35 PM.69,34,62,21.1,31.2,36.3,23,38.3,25.9,40.5,28.3,0.09,1000,-11.43,3.58,0,7.51
1/30/2025 2:41:36 PM.19,34.1,62.1,21.1,31.2,36.3,23,38.3,25.9,40.4,28.3,0.09,1000,-11.43,3.62,0,7.53
1/30/2025 2:41:36 PM.69,34.1,62.1,21.1,31.2,36.3,23,38.3,25.9,40.4,28.2,0.08,1000,-11.41,3.63,0,7.52
1/30/2025 2:41:37 PM.19,34.1,62.1,21.1,31.2,36.3,23,38.3,25.9,40.5,28.3,0.08,1000,-11.27,3.62,0,7.44
1/30/2025 2:41:37 PM.68,34.1,62.1,21.1,31.2,36.3,23,38.3,25.9,40.4,28.3,0.08,1000,-11.48,3.58,0,7.53
1/30/2025 2:41:38 PM.19,34.1,62.1,21,31.2,36.3,23,38.3,25.9,40.4,28.3,0.09,1000,-11.34,3.58,0,7.46
1/30/2025 2:41:38 PM.69,34.1,62.1,21,31.2,36.3,23,38.3,25.9,40.4,28.3,0.08,1000,-11.39,3.58,0,7.48
1/30/2025 2:41:39 PM.19,34.1,62.1,21,31.2,36.3,23,38.3,25.9,40.5,28.2,0.09,1000,-11.39,3.58,0,7.48
1/30/2025 2:41:39 PM.68,34,62.1,20.9,31.2,36.3,23,38.3,25.9,40.5,28.2,0.09,1000,-11.43,3.62,0,7.53
1/30/2025 2:41:40 PM.19,34.1,62.1,20.9,31.2,36.3,23,38.3,25.9,40.5,28.3,0.09,1000,-11.55,3.69,0,7.62
1/30/2025 2:41:40 PM.69,34,62.1,20.9,31.2,36.3,23,38.3,25.9,40.4,28.3,0.09,1000,-11.45,3.63,0,7.54
1/30/2025 2:41:41 PM.19,34.1,62.2,20.9,31.2,36.3,23,38.3,25.9,40.4,28.2,0.08,1000,-11.49,3.65,0,7.57
1/30/2025 2:41:41 PM.69,34.1,62.2,20.9,31.2,36.3,23,38.3,25.9,40.5,28.3,0.09,1000,-11.52,3.63,0,7.58
1/30/2025 2:41:42 PM.19,34.1,62.2,20.9,31.2,36.3,23,38.3,25.9,40.4,28.3,0.08,1000,-11.57,3.65,0,7.61
1/30/2025 2:41:42 PM.69,34.1,62.2,20.9,31.2,36.3,23,38.3,25.9,40.5,28.3,0.08,1000,-11.61,3.58,0,7.6
1/30/2025 2:41:43 PM.19,34.1,62.3,20.9,31.2,36.3,23,38.3,25.9,40.5,28.3,0.08,1000,-11.42,3.6,0,7.51
1/30/2025 2:41:43 PM.68,34,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.09,1000,-11.47,3.62,0,7.54
1/30/2025 2:41:44 PM.19,33.9,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.4,28.2,0.09,1000,-11.62,3.63,0,7.63
1/30/2025 2:41:44 PM.69,33.9,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.4,28.3,0.08,1000,-11.6,3.63,0,7.62
1/30/2025 2:41:45 PM.19,34,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.09,1000,-11.59,3.63,0,7.61
1/30/2025 2:41:45 PM.69,34,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.09,1000,-11.55,3.62,0,7.58
1/30/2025 2:41:46 PM.19,34,62.3,20.9,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.08,1000,-11.55,3.67,0,7.61
1/30/2025 2:41:46 PM.68,34.1,62.3,20.8,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.08,1000,-11.53,3.62,0,7.57
1/30/2025 2:41:47 PM.19,34,62.3,20.8,31.1,36.3,22.9,38.3,25.9,40.5,28.3,0.09,1000,-11.6,3.65,0,7.63
1/30/2025 2:41:47 PM.69,34.1,62.3,20.8,31.2,36.3,22.9,38.3,25.9,40.5,28.2,0.09,1000,-11.48,3.67,0,7.58
1/30/2025 2:41:48 PM.19,34.1,62.3,20.8,31.2,36.3,22.9,38.3,25.9,40.5,28.3,0.08,1000,-11.57,3.65,0,7.61
