Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
80,20,3.8,27,78.8,1.8,70.9
80,30,3.9,29.2,78.5,1.8,70.9
80,40,4.1,32.4,78.5,3.3,70.9
80,50,4.2,34.3,78.5,4.1,70.9
80,60,4.4,35.6,78.4,5.1,70.8
80,70,4.5,36.7,78.4,6.1,70.8
80,80,4.6,38.1,78.3,7.1,70.8
80,90,4.7,38.8,78.3,7.7,70.8
80,100,4.7,40,78.2,8.6,70.8
80,110,4.8,40.6,78.1,9.2,70.8
80,120,4.8,41.3,78,9.8,70.7
80,130,4.8,41.7,78,10,70.7
