Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
70,20,3.1,28.1,68.7,2.2,71
70,30,3.4,30.5,68.6,2.6,71
70,40,3.4,32.7,68.5,3.6,71
70,50,3.6,34.6,68.4,5,71
70,60,3.7,36.6,68.3,6.3,71
70,70,3.7,27.8,68.3,7.4,71
70,80,3.9,38.6,68.2,8,71
70,90,3.9,39.6,68.1,9,71
70,100,3.9,40.5,68.1,9.8,71
70,110,4,41.1,68.1,10.4,71
70,120,4,41.5,68,19.9,71
70,130,4.1,42,68,11.4,71
