Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
30,20,0.6,29.5,29.3,12.4,73.3
30,30,0.6,30.7,29,13.2,73.2
30,40,0.6,32.3,29,14.3,73
30,50,0.6,33.7,28.9,15.1,73.2
30,60,0.6,33.9,28.6,15.7,73
30,70,0.6,34.8,28.2,16.1,72.9
30,80,0.7,35.4,28,16.6,72.9
30,90,0.7,36,28.2,17,72.9
30,100,0.8,36.2,27.8,17.3,72.9
30,110,0.8,36.7,27.9,17.6,72.9
30,120,0.8,36.9,27.7,17.7,72.8
30,130,0.8,37.1,27.4,18,72.8
