Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
10,20,-0.3,27.8,8,17.7,71.5
10,30,-0.3,27.9,8.6,18.7,71.5
10,40,-0.3,27.9,8.3,19.2,71.5
10,50,-0.3,28.1,7.8,19.6,71.5
10,60,-0.3,28.1,7.5,19.7,71.5
10,70,-0.3,28.1,7.3,19.9,71.5
10,80,-0.3,28.1,7,20,71.5
10,90,-0.3,28.1,6.8,20.2,71.5
10,100,-0.3,28.1,6.4,20.2,71.5
10,110,-0.3,28.2,6.3,20.2,71.5
10,120,-0.3,,,,
10,130,-0.3,,,,
