Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
40,20,1.3,31.3,39.1,5,71.2
40,30,1.4,33.5,39,7,71.2
40,40,1.4,35.1,38.9,8.8,71.2
40,50,1.5,36.8,38.7,10.5,71.2
40,60,1.6,37.8,38.4,11.8,71.2
40,70,1.6,38.4,38.4,12.7,71.2
40,80,1.6,39,38.2,13.5,71.2
40,90,1.6,39.6,38.2,14.1,71.2
40,100,1.6,40,38,14.6,71.2
40,110,1.6,40.3,38,15,71.1
40,120,1.7,40.5,37.9,15.5,71.1
40,130,1.7,40.8,37.8,15.8,71.1
