Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
20,20,0.2,32,19,12.7,71.5
20,30,0.2,32,18.8,14,71.5
20,40,0.2,32.5,18.5,15.5,71.5
20,50,0.2,33.5,18.2,16.5,71.4
20,60,0.2,33.8,18.1,17.2,71.4
20,70,0.2,34.1,18,17.7,71.4
20,80,0.2,34.3,18,18.1,71.4
20,90,0.2,34.6,17.6,18.4,71.4
20,100,0.2,34.6,17.4,18.6,71.4
20,110,0.2,34.7,17,18.8,71.4
20,120,0.2,34.7,16.8,19.1,71.4
20,130,0.2,34.7,16.8,19.2,71.4
