Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
80,20,3.6,25.3,79,5.6,72
80,30,3.7,27.4,78.9,5.9,72
80,40,3.8,29.4,78.9,6.2,72
80,50,4,31.6,78.8,7.6,72
80,60,4.1,33.2,78.8,8.3,72
80,70,4.2,34.4,78.7,8.9,72
80,80,4.3,35.7,78.5,9.4,71.9
80,90,4.3,36.7,78.5,10,71.9
80,100,4.4,37.8,78.5,10.5,71.9
80,110,4.5,38.4,78.3,10.9,71.9
80,120,4.6,39.1,78.2,11.3,71.9
80,130,4.6,39.7,78,11.6,71.8
