Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
90,20,4.2,24.7,89,5.1,71.9
90,30,4.4,27.1,88.9,5.6,71.8
90,40,4.5,29.1,88.8,5.9,71.8
90,50,4.6,31.1,88.8,6.9,71.8
90,60,4.7,32.5,88.7,7.2,71.8
90,70,4.8,34,88.6,8,71.8
90,80,4.9,35.2,88.5,8.5,71.8
90,90,5,36.3,88.4,9,71.8
90,100,5.1,37.1,88.4,9.5,71.7
90,110,5.2,38,88.2,10,71.7
90,120,5.3,38.7,88.1,10.4,71.7
90,130,5.3,39.4,88,10.7,71.7
