Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
10,20,-0.3,26.1,9,18.4,74.9
10,30,-0.3,26.8,8.9,19,75.1
10,40,-0.3,26.9,8.2,19.3,75.2
10,50,-0.3,27.1,8,19.8,75.1
10,60,-0.3,27.3,7.7,19.8,75.1
10,70,-0.3,27.2,7.5,19.9,74.9
10,80,-0.3,27.3,7.5,20.1,74.8
10,90,-0.3,27.4,7.1,20.2,74.6
10,100,-0.3,27.4,6.8,20.3,74.6
10,110,-0.3,27.3,6,20.4,74.6
10,120,-0.3,,,,
10,130,-0.3,,,,
