Pressure (psi),Flow Rate,Permeate Flow,Permeate Purity,Retentate Pressure,Retentate Purity,Temperature
60,20,2.3,26.1,59.3,7,72.3
60,30,2.4,29,59,7.9,72.3
60,40,2.5,31,58.9,9,72.3
60,50,2.6,32.8,58.9,9.7,72.3
60,60,2.7,34.3,58.8,10.5,72.3
60,70,2.8,35.6,58.7,11,72.3
60,80,2.9,36.5,58.7,11.6,72.2
60,90,2.9,37.5,58.6,12.1,72.2
60,100,3,38.3,58.5,12.6,72.2
60,110,3,38.9,58.5,13.1,72.2
60,120,3,39.5,58.3,13.5,72.2
60,130,,40.1,58.1,13.7,72.1
