G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 2:56:57 PM.93,29,41.3,21.7,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.93,4.55,0,4.74
2/13/2025 2:56:58 PM.43,29,41.3,21.6,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-4.91,4.55,0,4.73
2/13/2025 2:56:58 PM.93,29,41.1,21.6,32.8,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.87,4.55,0,4.71
2/13/2025 2:56:59 PM.43,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0,0.08,26,-4.91,4.53,0,4.72
2/13/2025 2:56:59 PM.93,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0,0.1,0.09,26,-4.95,4.51,0,4.73
2/13/2025 2:57:00 PM.43,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.91,4.49,0,4.7
2/13/2025 2:57:00 PM.93,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0.1,0.1,26,-4.89,4.53,0,4.71
2/13/2025 2:57:01 PM.43,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.91,4.55,0,4.73
2/13/2025 2:57:01 PM.93,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.93,4.55,0,4.74
2/13/2025 2:57:02 PM.43,29,41.1,21.7,32.8,0.1,7.6,0,0.1,0,0.1,0.1,26,-4.91,4.51,0,4.71
2/13/2025 2:57:02 PM.93,28.9,41.1,21.5,32.7,0.1,7.6,0,0.1,0.1,0.1,0.09,26,-4.91,4.55,0,4.73
