G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 3:31:03 PM.68,42,31.8,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.19,3.97,0,4.08
2/13/2025 3:31:04 PM.18,42,31.8,20.4,30.1,0.1,7.6,0,0.1,0.1,0,0.09,18,-4.21,4.01,0,4.11
2/13/2025 3:31:04 PM.68,42,31.8,20.5,30.1,0.1,7.5,0,0.1,0.1,0,0.1,18,-4.21,3.95,0,4.08
2/13/2025 3:31:05 PM.18,41.9,31.7,20.4,30.1,0.1,7.5,0,0.1,0.1,0.1,0.1,18,-4.14,3.97,0,4.05
2/13/2025 3:31:05 PM.68,42,31.7,20.5,30.1,0.1,7.5,0,0.1,0,0.1,0.09,18,-4.19,3.97,0,4.08
2/13/2025 3:31:06 PM.18,41.9,31.7,20.4,30.1,0.1,7.5,0,0.1,0,0,0.1,19,-4.17,3.97,0,4.07
2/13/2025 3:31:06 PM.68,41.9,31.7,20.5,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.15,3.95,0,4.05
2/13/2025 3:31:07 PM.18,41.9,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.09,18,-4.13,3.97,0,4.05
2/13/2025 3:31:07 PM.68,41.9,31.7,20.5,30.1,0.1,7.6,0,0.1,0,0.1,0.09,18,-4.15,3.92,0,4.04
2/13/2025 3:31:08 PM.18,41.9,31.7,20.4,30.1,0.1,7.6,0,0.1,0.1,0.1,0.1,18,-4.19,3.92,0,4.05
