G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 2:49:33 PM.18,39.7,43.6,26.6,32.7,0.1,7.6,0,0.1,0,0,2.05,27,-1.61,0,1.56,1.59
2/13/2025 2:49:33 PM.68,39.6,43.6,26.3,32.7,0.1,7.6,0,0.1,0.1,0.1,2.02,27,-1.55,0,1.53,1.54
2/13/2025 2:49:34 PM.18,39.7,43.6,26.6,32.7,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.59,0,1.59,1.59
2/13/2025 2:49:34 PM.68,39.6,43.6,26.4,32.7,0.1,7.6,0,0.1,0.1,0.1,2.07,27,-1.56,0,1.54,1.55
2/13/2025 2:49:35 PM.18,39.6,43.6,26.4,32.7,0.1,7.6,0,0.1,0.1,0.1,2.06,27,-1.59,0,1.56,1.58
2/13/2025 2:49:35 PM.68,39.6,43.6,26.4,32.7,0.1,7.6,0,0.1,0.1,0,2.06,28,-1.57,0,1.57,1.57
2/13/2025 2:49:36 PM.18,39.6,43.6,26.4,32.7,0.1,7.6,0,0.1,0,0.1,2.06,27,-1.57,0,1.58,1.57
2/13/2025 2:49:36 PM.68,39.6,43.5,26.4,32.7,0.1,7.6,0,0.1,0.1,0.1,2.05,27,-1.55,0,1.58,1.57
2/13/2025 2:49:37 PM.18,39.6,43.6,26.4,32.7,0.1,7.6,0,0.1,0.1,0.1,2.05,27,-1.52,0,1.57,1.55
2/13/2025 2:49:37 PM.68,39.6,43.5,26.4,32.7,0.1,7.6,0,0.1,0.1,0,2.07,27,-1.52,0,1.57,1.55
2/13/2025 2:49:38 PM.18,39.9,43.6,26.5,32.8,0.1,7.6,0,0.1,0,0.1,2.03,27,-1.55,0,1.57,1.56
