G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
MW1_Shell_Correct,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025 2:43:02 PM.44,40.2,33,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.08,25,-2.62,2.6,0,2.61
4/7/2025 2:43:02 PM.93,40,33,15.3,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.08,25,-2.65,2.6,0,2.62
4/7/2025 2:43:03 PM.43,40,33,15.3,21.8,0.1,7.6,0.1,0.1,0.1,0,0.09,25,-2.57,2.62,0,2.59
4/7/2025 2:43:03 PM.94,40,33,15.3,21.7,0.1,7.5,0.1,0.1,0.1,0.1,0.09,24,-2.55,2.6,0,2.58
4/7/2025 2:43:04 PM.44,40.1,33,15.3,21.7,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.61,2.59,0,2.6
4/7/2025 2:43:04 PM.93,40,33,15.3,21.7,0.1,7.5,0,0.1,0.1,0.1,0.09,24,-2.6,2.59,0,2.59
4/7/2025 2:43:05 PM.44,40.1,33,15.3,21.7,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.61,2.57,0,2.59
4/7/2025 2:43:05 PM.94,40.1,33,15.3,21.7,0.1,7.6,0,0.1,0.1,0.1,0.08,24,-2.59,2.57,0,2.58
4/7/2025 2:43:06 PM.44,40,33,15.1,21.7,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.59,2.58,0,2.58
4/7/2025 2:43:06 PM.94,39.9,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.08,24,-2.57,2.62,0,2.59
4/7/2025 2:43:07 PM.44,40,33,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.57,2.64,0,2.6
4/7/2025 2:43:07 PM.94,40,33,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.58,2.62,0,2.6
4/7/2025 2:43:08 PM.44,40,33,15.1,21.6,0.2,7.6,0,0.1,0,0.1,0.09,24,-2.58,2.63,0,2.6
4/7/2025 2:43:08 PM.93,40,33,15,21.6,0.2,7.6,0,0.1,0.1,0.1,0.09,25,-2.58,2.64,0,2.61
4/7/2025 2:43:09 PM.44,40,33,15,21.6,0.2,7.6,0,0.1,0.1,0.1,0.09,25,-2.58,2.63,0,2.6
4/7/2025 2:43:09 PM.94,40,33,15,21.6,0.2,7.6,0,0.1,0.1,0.1,0.08,25,-2.58,2.64,0,2.61
4/7/2025 2:43:10 PM.44,39.9,32.9,15,21.6,0.2,7.6,0,0.1,0.1,0.1,0.09,25,-2.55,2.64,0,2.6
4/7/2025 2:43:10 PM.94,40,33,15,21.6,0.2,7.6,0,0.1,0.1,0.1,0.09,25,-2.57,2.64,0,2.6
4/7/2025 2:43:11 PM.44,40,32.9,15,21.5,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.55,2.64,0,2.6
4/7/2025 2:43:11 PM.94,40,32.9,15,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.6,2.65,0,2.62
4/7/2025 2:43:12 PM.44,40,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.6,2.62,0,2.61
4/7/2025 2:43:12 PM.94,40,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.61,2.62,0,2.62
4/7/2025 2:43:13 PM.44,40,32.9,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.09,25,-2.61,2.62,0,2.62
4/7/2025 2:43:13 PM.94,40,32.9,15.1,21.6,0.1,7.6,0,0.1,0,0.1,0.09,25,-2.6,2.62,0,2.61
4/7/2025 2:43:14 PM.43,40,33,15.1,21.6,0.1,7.6,0,0.1,0.1,0.1,0.08,24,-2.57,2.62,0,2.59
4/7/2025 2:43:14 PM.94,40,33,15.1,21.6,0.1,7.5,0.1,0.1,0.1,0.1,0.08,24,-2.57,2.62,0,2.59
4/7/2025 2:43:15 PM.44,40,33,15.1,21.5,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.57,2.59,0,2.58
4/7/2025 2:43:15 PM.94,40,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.08,25,-2.55,2.58,0,2.56
4/7/2025 2:43:16 PM.44,40.1,33,15.1,21.6,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.59,2.61,0,2.6
4/7/2025 2:43:16 PM.94,40.1,33,15.2,21.7,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.6,2.61,0,2.6
4/7/2025 2:43:17 PM.43,40.1,33,15.2,21.7,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.61,2.6,0,2.6
4/7/2025 2:43:17 PM.94,40.2,33,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.63,2.57,0,2.6
4/7/2025 2:43:18 PM.44,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.63,2.57,0,2.6
4/7/2025 2:43:18 PM.94,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.63,2.58,0,2.6
4/7/2025 2:43:19 PM.43,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.62,2.58,0,2.6
4/7/2025 2:43:19 PM.94,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.62,2.58,0,2.6
4/7/2025 2:43:20 PM.44,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,24,-2.62,2.58,0,2.6
4/7/2025 2:43:20 PM.94,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0,0.1,0.09,24,-2.63,2.58,0,2.6
4/7/2025 2:43:21 PM.44,40.3,33.1,15.4,21.8,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.65,2.6,0,2.62
4/7/2025 2:43:21 PM.94,40.3,33.1,15.4,21.8,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.64,2.59,0,2.61
4/7/2025 2:43:22 PM.44,40.3,33.1,15.4,21.8,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.64,2.58,0,2.61
4/7/2025 2:43:22 PM.93,40.2,33.1,15.4,21.8,0.1,7.6,0,0.1,0.1,0.1,0.09,24,-2.61,2.58,0,2.6
4/7/2025 2:43:23 PM.44,40.2,33.1,15.4,21.8,0.1,7.6,0.1,0.1,0.1,0.1,0.09,25,-2.58,2.58,0,2.58
