G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
MW1_Shell_Counter_Current,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
4/7/2025 2:55:57 PM.69,32.3,40.1,15.3,22.2,0.2,7.6,0,0.1,0.1,0.1,0.08,20,-2.88,2.72,0,2.8
4/7/2025 2:55:58 PM.19,32.3,40.1,15.5,22.3,0.2,7.6,0,0.1,0.1,0.1,0.09,21,-2.85,2.77,0,2.81
4/7/2025 2:55:58 PM.68,32.3,40.1,15.3,22.2,0.2,7.6,0,0.1,0.1,0.1,0.09,20,-2.86,2.72,0,2.79
4/7/2025 2:55:59 PM.19,32.3,40.1,15.3,22.2,0.2,7.6,0,0.1,0.1,0.1,0.09,21,-2.87,2.79,0,2.83
4/7/2025 2:55:59 PM.69,32.2,40.1,15.3,22.2,0.2,7.6,0,0.1,0.1,0.1,0.09,20,-2.86,2.77,0,2.82
4/7/2025 2:56:00 PM.18,32.3,40.1,15.3,22.2,0.2,7.6,0,0.1,0.1,0.1,0.09,20,-2.9,2.77,0,2.84
4/7/2025 2:56:00 PM.69,32.2,40.1,15.2,22.1,0.2,7.6,0.1,0.1,0,0.2,0.09,21,-2.88,2.77,0,2.83
4/7/2025 2:56:01 PM.18,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.87,2.74,0,2.81
4/7/2025 2:56:01 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.86,2.77,0,2.81
4/7/2025 2:56:02 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0,0.1,0.09,20,-2.87,2.79,0,2.83
4/7/2025 2:56:02 PM.68,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.88,2.77,0,2.83
4/7/2025 2:56:03 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0,0.09,21,-2.86,2.79,0,2.82
4/7/2025 2:56:03 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.88,2.77,0,2.83
4/7/2025 2:56:04 PM.18,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.8,0,2.85
4/7/2025 2:56:04 PM.68,32.2,40.1,15.1,22.1,0.1,7.6,0,0.1,0.1,0.1,0.08,21,-2.91,2.79,0,2.85
4/7/2025 2:56:05 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.79,0,2.85
4/7/2025 2:56:05 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0,0.09,21,-2.92,2.77,0,2.85
4/7/2025 2:56:06 PM.18,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.92,2.81,0,2.86
4/7/2025 2:56:06 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0,0.1,0.09,21,-2.9,2.77,0,2.84
4/7/2025 2:56:07 PM.19,32.2,40.1,15.3,22.2,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.9,2.81,0,2.85
4/7/2025 2:56:07 PM.69,32.2,40.1,15.2,22.1,0.2,7.6,0.1,0.1,0.1,0,0.09,21,-2.91,2.77,0,2.84
4/7/2025 2:56:08 PM.19,32.2,40.1,15.3,22.2,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.93,2.78,0,2.85
4/7/2025 2:56:08 PM.69,32.2,40.1,15.2,22.1,0.2,7.6,0,0.1,0.1,0.1,0.09,20,-2.93,2.77,0,2.85
4/7/2025 2:56:09 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.08,21,-2.91,2.76,0,2.84
4/7/2025 2:56:09 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.93,2.77,0,2.85
4/7/2025 2:56:10 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,20,-2.88,2.76,0,2.82
4/7/2025 2:56:10 PM.68,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0,0.08,21,-2.9,2.74,0,2.82
4/7/2025 2:56:11 PM.19,32.3,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.88,2.76,0,2.82
4/7/2025 2:56:11 PM.68,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0,0.1,0.09,20,-2.88,2.76,0,2.82
4/7/2025 2:56:12 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.87,2.78,0,2.82
4/7/2025 2:56:12 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,20,-2.9,2.8,0,2.85
4/7/2025 2:56:13 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0,0.09,21,-2.9,2.76,0,2.83
4/7/2025 2:56:13 PM.69,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.08,21,-2.9,2.78,0,2.84
4/7/2025 2:56:14 PM.19,32.2,40.1,15.2,22.1,0.1,7.6,0,0.1,0.1,0.1,0.09,21,-2.9,2.77,0,2.83
4/7/2025 2:56:14 PM.68,32.2,40.1,15.2,22.1,0.1,7.6,0.1,0.1,0,0.1,0.09,20,-2.9,2.76,0,2.83
4/7/2025 2:56:15 PM.19,32.3,40.1,15.2,22.2,0.1,7.6,0,0.1,0.1,0.1,0.08,21,-2.9,2.76,0,2.83
4/7/2025 2:56:15 PM.69,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.88,2.77,0,2.83
4/7/2025 2:56:16 PM.19,32.3,40.2,15.4,22.2,0.1,7.5,0.1,0.1,0,0.1,0.09,20,-2.9,2.76,0,2.83
4/7/2025 2:56:16 PM.69,32.2,40.1,15.4,22.2,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.9,2.72,0,2.81
4/7/2025 2:56:17 PM.19,32.2,40.1,15.4,22.2,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.87,2.79,0,2.83
4/7/2025 2:56:17 PM.69,32.2,40.1,15.4,22.2,0.2,7.5,0.1,0.1,0,0.1,0.09,20,-2.91,2.72,0,2.81
4/7/2025 2:56:18 PM.19,32.2,40.1,15.4,22.1,0.2,7.6,0.1,0.1,0,0.1,0.09,21,-2.88,2.74,0,2.81
4/7/2025 2:56:18 PM.69,32.2,40.1,15.4,22.1,0.2,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.9,2.74,0,2.82
4/7/2025 2:56:19 PM.19,32.2,40.1,15.3,22.1,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.88,2.74,0,2.81
4/7/2025 2:56:19 PM.69,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.9,2.76,0,2.83
4/7/2025 2:56:20 PM.18,32.2,40.1,15.3,22.1,0.1,7.5,0,0.1,0.1,0.1,0.09,20,-2.91,2.76,0,2.83
4/7/2025 2:56:20 PM.69,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.91,2.72,0,2.82
4/7/2025 2:56:21 PM.19,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,20,-2.9,2.76,0,2.83
4/7/2025 2:56:21 PM.69,32.2,40.1,15.3,22.2,0.1,7.5,0,0.1,0.1,0.1,0.09,21,-2.9,2.76,0,2.83
4/7/2025 2:56:22 PM.19,32.3,40.1,15.5,22.3,0.1,7.5,0,0.1,0.1,0.1,0.09,20,-2.89,2.74,0,2.82
4/7/2025 2:56:22 PM.69,32.4,40.2,15.5,22.3,0.1,7.5,0,0.1,0.1,0,0.09,21,-2.83,2.74,0,2.78
4/7/2025 2:56:23 PM.19,32.4,40.2,15.5,22.3,0.1,7.6,0,0.1,0.1,0.1,0.09,20,-2.91,2.75,0,2.83
4/7/2025 2:56:23 PM.69,32.3,40.2,15.5,22.3,0.1,7.6,0,0.1,0.1,0.1,0.09,20,-2.86,2.76,0,2.81
4/7/2025 2:56:24 PM.19,32.4,40.2,15.5,22.3,0.1,7.6,0.1,0.1,0.1,0.1,0.08,20,-2.88,2.76,0,2.82
4/7/2025 2:56:24 PM.69,32.4,40.2,15.5,22.3,0.1,7.6,0,0.1,0.1,0.1,0.09,20,-2.87,2.71,0,2.79
4/7/2025 2:56:25 PM.19,32.5,40.2,15.6,22.3,0.1,7.6,0,0.1,0.1,0.1,0.08,20,-2.86,2.74,0,2.8
4/7/2025 2:56:25 PM.68,32.5,40.2,15.6,22.4,0.1,7.6,0,0.1,0.1,0.1,0.08,20,-2.85,2.72,0,2.78
4/7/2025 2:56:26 PM.19,32.5,40.3,15.6,22.4,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.88,2.7,0,2.79
4/7/2025 2:56:26 PM.69,32.5,40.3,15.6,22.4,0.1,7.6,0.1,0.1,0.1,0,0.09,20,-2.86,2.73,0,2.8
4/7/2025 2:56:27 PM.18,32.5,40.3,15.7,22.4,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.88,2.72,0,2.8
4/7/2025 2:56:27 PM.69,32.5,40.3,15.7,22.4,0.1,7.6,0.1,0.1,0.1,0.1,0.09,20,-2.88,2.72,0,2.8
4/7/2025 2:56:28 PM.19,32.5,40.3,15.7,22.4,0.1,7.6,0.1,0.1,0.1,0.1,0.09,21,-2.91,2.72,0,2.81
