G.U.N.T. Geraetebau GmbH,,,,,,,,,,,,,,,,
WL315C,,,,,,,,,,,,,,,,
Time,T1 (°C),T2 (°C),T3 (°C),T4 (°C),T5 (°C),T6 (°C),T7 (°C),T8 (°C),T9 (°C),T10 (°C),dp1 (mbar),dp2 (mbar),dQ1/dt (kW),dQ2/dt (kW),dQ3/dt (kW),dQm/dt (kW)
2/13/2025 3:24:07 PM.93,43.3,39.2,26.1,33.3,0.1,7.6,0,0.1,0,0,2.02,21,-1.67,0,1.77,1.72
2/13/2025 3:24:08 PM.43,43.3,39.2,26.2,33.4,0.1,7.6,0,0.1,0.1,0.1,2.02,21,-1.67,0,1.79,1.73
2/13/2025 3:24:08 PM.93,43.3,39.2,26.1,33.3,0.1,7.6,0,0.1,0.1,0.1,2.03,20,-1.67,0,1.78,1.72
2/13/2025 3:24:09 PM.43,43.3,39.2,26,33.4,0.1,7.6,0,0.1,0.1,0.1,2.03,21,-1.67,0,1.79,1.73
2/13/2025 3:24:09 PM.93,43.3,39.1,26,33.3,0.1,7.6,0,0.1,0.1,0,2.02,21,-1.69,0,1.82,1.75
2/13/2025 3:24:10 PM.43,43.3,39.2,26,33.3,0.1,7.6,0,0.1,0.1,0.1,2.04,21,-1.67,0,1.8,1.73
2/13/2025 3:24:10 PM.93,43.2,39.2,26,33.3,0.1,7.6,0,0.1,0,0.1,2.02,21,-1.65,0,1.81,1.73
2/13/2025 3:24:11 PM.43,43.3,39.2,26,33.3,0.1,7.6,0,0.1,0.1,0.1,2.01,21,-1.67,0,1.8,1.73
2/13/2025 3:24:11 PM.93,43.2,39.2,26,33.3,0.1,7.6,0,0.1,0.1,0.1,2.04,20,-1.65,0,1.81,1.73
2/13/2025 3:24:12 PM.43,43.3,39.2,26,33.3,0.1,7.6,0,0.1,0,0.1,2.01,20,-1.66,0,1.81,1.74
2/13/2025 3:24:12 PM.93,43.2,39.2,26,33.3,0.1,7.6,0,0.1,0,0,2.04,20,-1.65,0,1.81,1.73
